Alt,rho,p,T,Fc,N2,CO2,AR,gamma,mu
0,0.01502676,699,242.15,0,0.0259,0.951,0.0194,1.4027,0.000013
200,0.014770873,686.5305616,241.9504,0,0.0259,0.951,0.0194,1.4027,0.00001296
400,0.014519354,674.2835651,241.7508,0,0.0259,0.951,0.0194,1.4027,0.00001292
600,0.014272127,662.2550424,241.5512,0,0.0259,0.951,0.0194,1.4027,0.00001288
800,0.01402912,650.4410962,241.3516,0,0.0259,0.951,0.0194,1.4027,0.00001284
1000,0.01379026,638.8378985,241.152,0,0.0259,0.951,0.0194,1.4027,0.0000128
1200,0.013555475,627.4416899,240.9524,0,0.0259,0.951,0.0194,1.4027,0.00001276
1400,0.013324698,616.2487779,240.7528,0,0.0259,0.951,0.0194,1.4027,0.00001272
1600,0.013097858,605.2555359,240.5532,0,0.0259,0.951,0.0194,1.4027,0.00001268
1800,0.012874888,594.458402,240.3536,0,0.0259,0.951,0.0194,1.4027,0.00001264
2000,0.012655724,583.8538778,240.154,0,0.0259,0.951,0.0194,1.4027,0.0000126
2200,0.012440298,573.4385273,239.9544,0,0.0259,0.951,0.0194,1.4027,0.00001256
2400,0.012228548,563.208976,239.7548,0,0.0259,0.951,0.0194,1.4027,0.00001252
2600,0.012020411,553.1619093,239.5552,0,0.0259,0.951,0.0194,1.4027,0.00001248
2800,0.011815824,543.2940719,239.3556,0,0.0259,0.951,0.0194,1.4027,0.00001244
3000,0.011614727,533.6022665,239.156,0,0.0259,0.951,0.0194,1.4027,0.0000124
3200,0.011417061,524.083353,238.9564,0,0.0259,0.951,0.0194,1.4027,0.00001236
3400,0.011222767,514.734247,238.7568,0,0.0259,0.951,0.0194,1.4027,0.00001232
3600,0.011031787,505.5519194,238.5572,0,0.0259,0.951,0.0194,1.4027,0.00001228
3800,0.010844065,496.5333951,238.3576,0,0.0259,0.951,0.0194,1.4027,0.00001224
4000,0.010659544,487.6757519,238.158,0,0.0259,0.951,0.0194,1.4027,0.0000122
4200,0.01047817,478.97612,237.9584,0,0.0259,0.951,0.0194,1.4027,0.00001216
4400,0.01029989,470.4316805,237.7588,0,0.0259,0.951,0.0194,1.4027,0.00001212
4600,0.010124651,462.0396649,237.5592,0,0.0259,0.951,0.0194,1.4027,0.00001208
4800,0.009952399,453.7973543,237.3596,0,0.0259,0.951,0.0194,1.4027,0.00001204
