Alt,rho,p,T,Fc,N2,CH4,AR,gamma,mu
0,5.79,161000,99.2,3.20E-02,1.08E+26,1.21E+24,1.21E+25,1.425135603,6.30298E-06
500,5.69,157000,98.49,3.18E-02,1.06E+26,1.19E+24,1.19E+25,1.425180956,6.25569E-06
1000,5.59,153000,97.78,3.16E-02,1.04E+26,1.17E+24,1.17E+25,1.425228031,6.20833E-06
1500,5.49,150000,97.08,3.15E-02,1.03E+26,1.15E+24,1.15E+25,1.425058366,6.16157E-06
2000,5.39,146000,96.38,3.13E-02,1.01E+26,1.13E+24,1.13E+25,1.42510447,6.11476E-06
3000,5.2,139000,95.07,3.09E-02,9.70E+25,1.09E+24,1.09E+25,1.425202312,6.02699E-06
4000,5,132000,93.97,3.02E-02,9.33E+25,1.05E+24,1.05E+25,1.425236052,5.95313E-06
5000,4.78,125000,93.15,2.94E-02,8.93E+25,1.00E+24,1.00E+25,1.425124626,5.89798E-06
6000,4.59,119000,92.19,2.86E-02,8.56E+25,9.62E+23,9.62E+24,1.425204716,5.8333E-06
8000,4.21,107000,90.39,2.71E-02,7.85E+25,8.82E+23,8.82E+24,1.425199429,5.71175E-06
10000,3.85,96300,88.63,2.56E-11,7.19E+25,8.08E+23,8.08E+24,1.425203743,5.59253E-06
12000,3.51,86400,87.14,2.40E-02,6.55E+25,7.36E+23,7.36E+24,1.42520137,5.49133E-06
14000,3.19,77500,85.74,2.24E-02,5.96E+25,6.69E+23,6.69E+24,1.425177795,5.39601E-06
16000,2.9,69300,84.39,2.08E-02,5.41E+25,6.08E+23,6.08E+24,1.425204975,5.30389E-06
18000,2.63,61900,83.07,1.94E-02,4.90E+25,5.51E+23,5.51E+24,1.425217849,5.21362E-06
20000,2.37,55300,81.87,1.79E-02,4.43E+25,4.98E+23,4.98E+24,1.425211137,5.13141E-06
22000,2.13,49300,81.05,1.64E-02,3.98E+25,4.48E+23,4.48E+24,1.425240565,5.07514E-06
24000,1.92,43900,79.94,1.51E-02,3.59E+25,4.04E+23,4.04E+24,1.425234979,4.99886E-06
26000,1.73,39000,79.05,1.38E-02,3.23E+25,3.63E+23,3.63E+24,1.42520486,4.93762E-06
28000,1.55,34700,78.26,1.25E-02,2.89E+25,3.25E+23,3.25E+24,1.4252194,4.88319E-06
30000,1.39,30800,77.67,1.13E-02,2.59E+25,2.91E+23,2.91E+24,1.425199134,4.8425E-06
32000,1.24,27300,77.12,1.02E-02,2.31E+25,2.60E+23,2.60E+24,1.425238829,4.80454E-06
34000,1.1,24300,76.72,9.18E-03,2.06E+25,2.31E+23,2.31E+24,1.425155352,4.77691E-06
36000,0.98,21500,76.47,8.19E-03,1.83E+25,2.06E+23,2.06E+24,1.425241661,4.75964E-06
38000,0.871,19100,76.2,7.32E-03,1.63E+25,1.83E+23,1.83E+24,1.425182111,4.74098E-06
40000,0.774,16900,75.97,6.53E-03,1.45E+25,1.62E+23,1.62E+24,1.425073087,4.72508E-06
42000,0.683,15000,76.36,5.70E-03,1.27E+25,1.43E+23,1.43E+24,1.42524767,4.75204E-06
44000,0.601,13300,76.96,4.94E-03,1.12E+25,1.26E+23,1.26E+24,1.425228031,4.79349E-06
46000,0.531,11900,77.45,4.31E-03,9.91E+24,1.11E+23,1.11E+24,1.425129818,4.82732E-06
48000,0.469,10500,78.02,3.75E-03,8.75E+24,9.83E+22,9.83E+23,1.425196668,4.86664E-06
50000,0.414,9400,78.64,3.27E-03,7.73E+24,8.69E+22,8.69E+23,1.425211895,4.90938E-06
52000,0.366,8380,79.4,2.84E-03,6.83E+24,7.67E+22,7.67E+23,1.425187849,4.96171E-06
54000,0.323,7490,80.31,2.45E-03,6.03E+24,6.77E+22,6.78E+23,1.425210243,5.0243E-06
56000,0.285,6700,81.55,2.10E-03,5.31E+24,5.97E+22,5.97E+23,1.425213937,5.10946E-06
58000,0.249,6010,83.48,1.77E-03,4.65E+24,5.23E+22,5.23E+23,1.425222667,5.24168E-06
60000,0.217,5410,86.23,1.45E-03,4.05E+24,4.55E+22,4.55E+23,1.425197231,5.42939E-06
62000,0.188,4890,89.69,1.18E-03,3.52E+24,3.95E+22,3.95E+23,1.425171324,5.66438E-06
64000,0.161,4440,94.99,9.10E-04,3.01E+24,3.39E+22,3.39E+23,1.42525289,6.02162E-06
66000,0.137,4050,102.18,6.80E-04,2.56E+24,2.88E+22,2.88E+23,1.425228031,6.50081E-06
68000,0.117,3730,109.68,5.20E-04,2.19E+24,2.46E+22,2.46E+23,1.425193855,6.9937E-06
