Alt,rho,p,T,Fc,N2,CH4,AR,gamma,mu
0,4.98,135000,90.29,3.50E-02,1.01E+26,1.12E+25,0,1.39201426,5.70499E-06
500,4.89,132000,89.68,3.47E-02,9.90E+25,1.10E+25,0,1.392,5.6637E-06
1000,4.8,128000,89.08,3.40E-02,9.71E+25,1.08E+25,0,1.391992586,5.62305E-06
1500,4.73,125000,88.31,3.44E-02,9.59E+25,1.02E+25,0,1.392309142,5.57082E-06
2000,4.68,122000,87.39,3.45E-02,9.54E+25,9.17E+24,0,1.392984604,5.50832E-06
3000,4.56,116000,85.65,3.46E-02,9.39E+25,7.24E+24,0,1.394273285,5.38987E-06
4000,4.41,110000,84.29,3.42E-02,9.14E+25,5.98E+24,0,1.395087287,5.29706E-06
5000,4.23,104000,83.33,3.34E-02,8.80E+25,5.19E+24,0,1.395544586,5.23142E-06
6000,4.06,98100,82.24,3.27E-02,8.48E+25,4.46E+24,0,1.396002689,5.15677E-06
8000,3.7,87700,80.51,3.08E-02,7.73E+25,4.07E+24,0,1.395998525,5.03805E-06
10000,3.36,78200,78.82,2.90E-02,7.03E+25,3.70E+24,0,1.396,4.92178E-06
12000,3.04,69600,77.39,2.70E-02,6.36E+25,3.35E+24,0,1.395997013,4.82318E-06
14000,2.75,61800,76.05,2.50E-02,5.74E+25,3.02E+24,0,1.396001324,4.73061E-06
16000,2.47,54900,74.75,2.31E-02,5.17E+25,2.72E+24,0,1.39600147,4.64065E-06
18000,2.23,48600,73.48,2.14E-02,4.65E+25,2.45E+24,0,1.395995914,4.55262E-06
20000,2,43000,72.33,1.97E-02,4.17E+25,2.19E+24,0,1.396008202,4.47279E-06
22000,1.78,37900,71.54,1.78E-02,3.71E+28,1.96E+24,0,1.399995774,4.4179E-06
24000,1.59,33500,70.48,1.63E-02,3.32E+25,1.75E+24,0,1.395994278,4.34416E-06
26000,1.42,29500,69.62,1.48E-02,2.96E+25,1.56E+24,0,1.395994865,4.28427E-06
28000,1.26,25900,68.87,1.34E-02,2.63E+25,1.38E+24,0,1.396011561,4.232E-06
30000,1.11,22800,68.3,1.20E-02,2.32E+25,1.22E+24,0,1.396003276,4.19225E-06
32000,0.984,20000,67.77,1.07E-02,2.06E+25,1.08E+24,0,1.39601476,4.15528E-06
34000,0.868,17600,67.38,9.51E-03,1.81E+25,9.54E+23,0,1.395994542,4.12805E-06
36000,0.764,15400,67.14,8.41E-03,1.60E+25,8.40E+23,0,1.396009501,4.11129E-06
