Alt,rho,p,T,Fc,N2,CH4,AR,gamma,mu
0,5.44,146000,93.28,3.47E-02,1.12E+26,3.53E+24,2.35E+24,1.402787581,5.90673E-06
500,5.34,143000,92.58,3.45E-02,1.10E+26,3.47E+24,2.31E+24,1.402789774,5.85959E-06
1000,5.24,139000,9.19E+01,3.43E-02,1.08E+26,3.41E+24,2.27E+24,1.402792048,5.81375E-06
1500,5.15,136000,91.22,3.41E-02,1.06E+26,3.35E+24,2.23E+24,1.402794408,5.76785E-06
2000,5.05,132000,90.58,3.39E-02,1.04E+26,3.28E+24,2.19E+24,1.402804421,5.7246E-06
3000,4.86,125000,89.26,3.35E-02,1.00E+26,3.16E+24,2.11E+24,1.402809917,5.63525E-06
4000,4.67,119000,88.2,3.27E-02,9.60E+25,3.03E+24,2.02E+24,1.402798615,5.56335E-06
5000,4.46,113000,87.4,3.17E-02,9.18E+25,2.90E+24,1.93E+24,1.402792094,5.509E-06
6000,4.27,107000,86.47,3.09E-02,8.79E+25,2.78E+24,1.85E+24,1.402794769,5.44574E-06
8000,3.91,96100,84.72,2.92E-02,8.04E+25,2.54E+24,1.69E+24,1.402790972,5.32642E-06
10000,3.56,86100,83,2.75E-02,7.33E+25,2.32E+24,1.54E+24,1.402783826,5.20883E-06
12000,3.24,76900,81.56,2.57E-02,6.66E+25,2.10E+24,1.40E+24,1.402796006,5.11014E-06
14000,2.93,68700,80.19,2.39E-02,6.04E+25,1.91E+24,1.27E+24,1.402790186,5.01605E-06
16000,2.65,61200,78.88,2.22E-02,5.46E+25,1.72E+24,1.15E+24,1.402808422,4.92591E-06
18000,2.4,54500,77.59,2.06E-02,4.93E+25,1.56E+24,1.04E+24,1.402805395,4.83698E-06
20000,2.16,48400,76.43,1.90E-02,4.44E+25,1.40E+24,9.35E+23,1.402805178,4.75688E-06
22000,1.93,42900,75.63,1.73E-02,3.98E+25,1.26E+24,8.37E+23,1.402788266,4.70156E-06
24000,1.74,38100,74.55,1.59E-02,3.57E+25,1.13E+24,7.52E+23,1.402797084,4.62679E-06
26000,1.55,33700,73.68,1.45E-02,3.19E+25,1.01E+24,6.73E+23,1.402804395,4.56649E-06
28000,1.39,29800,72.92,1.31E-02,2.85E+25,9.01E+23,6.00E+23,1.40279724,4.51376E-06
30000,1.23,26400,72.36,1.18E-02,2.54E+25,8.01E+23,5.34E+23,1.402796334,4.47488E-06
32000,1.1,23300,71.81,1.06E-02,2.26E+25,7.12E+23,4.75E+23,1.402797326,4.43666E-06
34000,0.972,20600,71.41,9.48E-03,2.00E+25,6.32E+23,4.21E+23,1.402797701,4.40886E-06
36000,0.86,18100,71.17,8.42E-03,1.77E+25,5.59E+23,3.73E+23,1.402804852,4.39217E-06
38000,0.761,16000,70.91,7.49E-03,1.57E+25,4.94E+23,3.30E+23,1.402800775,4.37408E-06
40000,0.673,14100,70.66,6.66E-03,1.39E+25,4.38E+23,2.92E+23,1.402794258,4.35669E-06
42000,0.594,12300,70.64,5.87E-03,1.22E+25,3.86E+23,2.57E+23,1.402798412,4.35529E-06
44000,0.522,11000,70.84,5.13E-03,1.08E+25,3.40E+23,2.26E+23,1.402776702,4.36921E-06
46000,0.461,9720,70.93,4.51E-03,9.48E+24,2.99E+23,2.00E+23,1.402813909,4.37547E-06
48000,0.406,8590,71.11,3.95E-03,8.35E+24,2.64E+23,1.76E+23,1.402803185,4.38799E-06
50000,0.358,7600,71.33,3.46E-03,7.36E+24,2.32E+23,1.55E+23,1.402806248,4.40329E-06
52000,0.315,6730,71.7,3.01E-03,6.82E+24,2.05E+23,1.36E+23,1.402647675,4.42902E-06
54000,0.277,5960,72.21,2.62E-03,5.69E+24,1.80E+23,1.20E+23,1.402804674,4.46446E-06
56000,0.243,5280,73.05,2.25E-03,4.99E+24,1.58E+23,1.05E+23,1.402790786,4.52278E-06
58000,0.211,4700,74.56,1.88E-03,4.35E+24,1.37E+23,9.15E+22,1.402802228,4.62749E-06
60000,0.183,4190,76.87,1.54E-03,3.76E+24,1.19E+23,7.91E+22,1.402790733,4.78727E-06
62000,0.157,3730,79.89,1.24E-03,3.24E+24,1.02E+23,6.81E+22,1.402799331,4.99543E-06
64000,0.133,3380,84.71,9.50E-04,2.75E+24,8.67E+22,5.78E+22,1.402795647,5.32574E-06
66000,0.112,3060,91.37,7.00E-04,2.31E+24,7.29E+22,4.86E+22,1.402798273,5.77798E-06
68000,0.0951,2800,98.37,5.20E-04,1.96E+24,6.18E+22,4.12E+22,1.402795928,6.24769E-06
70000,0.0827,2570,103.94,4.10E-04,1.70E+24,5.37E+22,3.58E+22,1.402800782,6.61712E-06
72000,0.0721,2370,109.9,3.30E-04,1.48E+24,4.69E+22,3.33E+22,1.403144469,7.00805E-06
74000,0.0641,2200,114.55,2.70E-04,1.32E+24,4.17E+22,2.78E+22,1.402801008,7.30987E-06
76000,0.0581,2040,117.51,2.30E-04,1.19E+24,3.77E+22,2.52E+22,1.402822252,7.50053E-06
78000,0.0527,1900,120.42,2.00E-04,1.09E+24,3.43E+22,2.28E+22,1.402775695,7.68686E-06
80000,0.0479,1770,123.61,1.80E-04,9.86E+23,3.11E+22,2.08E+22,1.402813373,7.88984E-06
82000,0.0438,1660,126.41,1.50E-04,9.00E+23,2.84E+22,1.90E+22,1.402816128,8.06692E-06
84000,0.04,1550,129.47,1.40E-04,8.23E+23,2.60E+22,1.73E+22,1.402791181,8.25926E-06
86000,0.0367,1450,132.19,1.20E-04,7.55E+23,2.38E+22,1.59E+22,1.40280609,8.42922E-06
