Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
1,1.418681194,3.51991701,0,8.733333333,2.590316883,0.35,0,152.8506391,279.936965,LowAcc,400000,14.42128878,0.015504489,0.262325029,16.91929526,0.008433309,2.402978393,0.720893518,0.091890798,0.201383207,0.169444843,0.031938364,0.150368395,0.097156029,1.79292656,2,0,1,0.262570821,3,1,1,Titan,152.8506391,64.45691831,0,52.2544,100.5962391,7.492103383,7.308493734,0.0916409,0.983238641,0.290289465,15.27822561,4.680745437,0,0.014583564,0,0,V-tail,no,yes,0,winter,0.029297509,30,4.85
2,0.738052002,3.151518877,0,13.45714286,2.872684492,0.35,0,135.1423781,221.2100708,LowAcc,400000,13.52060651,0.025181385,0.507198169,20.1417902,1.325316069,2.285389508,0.685616852,0.066551233,0.086316775,0.044378411,0.041938364,0.148844723,0.068568019,1.700606932,2,0,1,0.230908136,3,1,1,Titan,135.1423781,51.50603392,0,52.2544,82.8879781,6.067991653,6.247285379,0.073778301,0.421435282,0.239384348,13.50435848,4.813127168,0,0.014583564,0,0,V-tail,yes,no,0,spring,0.009374753,100,5
3,1.052188552,2.927084055,0,8.142857143,1.460846448,0.35,0,173.2360803,345.894637,LowAcc,400000,16.26666756,0.018079219,0.315074332,17.42743048,0.161049136,2.552816784,0.765845035,0.09859188,0.177748254,0.144431557,0.033316697,0.156132772,0.101839281,1.910565438,2,0,2,0.298083084,3,1,1,Titan,173.2360803,80.99161689,0,52.2544,120.9816803,7.779063804,8.839276629,0.103802244,0.867842728,0.351497716,17.31517076,4.718825922,0,0.014583564,0,0,V-tail,no,no,0,fall,0.077921523,10,5
4,0.37155936,2.513266623,0,17,1.460846448,0.35,0,168.0190195,366.3703062,LowAcc,400000,15.80993483,0.054141506,0.916084448,16.92018785,3.090658644,2.603043168,0.69889731,0.21133959,0.165599481,0.1569382,0.008661281,0.319549637,0.207011519,2.603043168,3,0,6,0.305363013,3,1,1,Titan,168.0190195,84.56305709,0,52.2544,115.7646195,4.996537178,8.107045471,0.098633613,0.808527241,0.364568706,16.79390556,0.017761096,0,0.014583564,0,0,V-tail,no,yes,0,spring,0.00801726,100,5
5,0.790408094,3.332169233,0,14.04761905,1.884397861,0.35,0,137.5656133,215.4710483,LowAcc,400000,13.01743544,0.025229385,0.5200835,20.61419612,1.372919562,2.298668637,0.689600591,0.141834037,0.230433832,0.169444843,0.060988989,0.211654443,0.140533789,1.711032443,2,0,2,0.234697804,3,1,1,Titan,137.5656133,52.98068864,0,52.2544,85.31121332,6.133602186,6.196198231,0.077101065,1.125076173,0.245290446,13.75091386,4.787759158,0,0.014583564,0,0,V-tail,yes,yes,0,summer,0.032457072,30,5
6,0.476271544,2.359146708,0,11.68571429,2.872684492,0.35,0,186.8407992,438.1681591,LowAcc,400000,17.42480362,0.041021028,0.654254514,15.94924727,2.200642717,2.708339007,0.725720685,0.111810496,0.168876564,0.1569382,0.011938364,0.156724412,0.111071889,2.708339007,3,0,6,0.333268105,3,1,1,Titan,186.8407992,99.33567704,0,52.2544,134.5863992,5.808751435,9.384141799,0.11147076,0.824527357,0.416286781,18.674616,0.01634445,0,0.014583564,0,0,V-tail,no,yes,0,spring,0.024247495,30,5
7,0.528627635,2.421827714,0,11.0952381,2.519724981,0.35,0,163.9989303,333.2626163,LowAcc,400000,15.97785602,0.037398666,0.615346275,16.45369594,1.812234128,2.509162795,0.752748838,0.062787302,0.070497504,0.044378411,0.026119093,0.151342902,0.063806688,1.87629247,2,0,1,0.288189018,3,1,1,Titan,163.9989303,76.18371967,0,52.2544,111.7445303,5.16740352,8.527773353,0.090185743,0.344198859,0.334016255,16.39215127,4.690498034,0,0.014583564,0,0,V-tail,no,no,0,spring,0.079330012,10,4.55
8,0.423915452,2.440287438,0,14.04761905,1.460846448,0.35,0,151.4993669,289.9022423,LowAcc,400000,14.79631112,0.04818243,0.826589895,17.15542147,2.875879565,2.421941264,0.726582379,0.068457421,0.078823419,0.056885055,0.021938364,0.155413799,0.068668279,1.807814405,2,0,4,0.267325956,3,1,1,Titan,151.4993669,66.58526066,0,52.2544,99.24496688,4.546469658,7.516729296,0.08039431,0.384849524,0.298236476,15.14318238,4.675261006,0,0.014583564,0,0,V-tail,yes,yes,0,spring,0.085664832,10,3.8
9,1.418681194,3.860428494,0,10.5047619,2.590316883,0.35,0,146.280074,221.766253,LowAcc,400000,13.22632012,0.013969353,0.298461096,21.36542077,-0.045086719,2.301216804,0.690365041,0.071405075,0.145062676,0.11941827,0.025644406,0.152222078,0.077973514,1.713033022,2,0,5,0.235418037,3,1,1,Titan,146.280074,53.29868727,0,52.2544,88.63735251,8.540173645,6.339002255,0.085670867,0.708257806,0.246418717,14.62130572,4.783252665,0,0.014583564,0,5.388321455,V-tail,yes,yes,2,winter,0.095833422,10,3.65
10,1.261612919,3.536663815,0,9.914285714,2.872684492,0.35,0,147.0048541,250.2805808,LowAcc,400000,14.10167277,0.015005265,0.296708312,19.77361323,-0.060865798,2.35992525,0.707977575,0.043757158,0.114270755,0.088151662,0.026119093,0.097249581,0.050799904,1.759125319,2,0,6,0.251441165,3,1,1,Titan,147.0048541,59.75983367,0,52.2544,94.75045409,7.758198804,6.899717709,0.086546622,0.557918525,0.271994894,14.69410188,4.707558426,0,0.014583564,0,0,V-tail,no,yes,0,summer,0.089884621,10,5
11,1.156900736,3.069279626,0,8.142857143,2.237357372,0.35,0,196.1616177,459.123204,LowAcc,400000,17.80876005,0.017760975,0.270717295,15.24225461,0.271710925,2.743306505,0.73462841,0.06521175,0.073039692,0.044378411,0.028661281,0.150056108,0.070638525,2.743306505,3,0,1,0.342031858,3,1,1,Titan,196.1616177,104.2165779,0,52.2544,143.9072177,9.312134374,9.81742312,0.130348731,0.356610904,0.433051461,19.61051612,0.015971558,0,0.014583564,0,0,V-tail,no,yes,0,winter,0.007117416,100,4.7
12,0.476271544,2.693127407,0,15.22857143,1.460846448,0.35,0,147.0746477,252.3714832,LowAcc,400000,14.13362342,0.042941051,0.782783354,18.2292546,2.686434786,2.388261412,0.716478424,0.100400466,0.126343348,0.094404984,0.031938364,0.174269129,0.099649845,1.781372184,2,0,1,0.258820182,3,1,1,Titan,147.0746477,62.88181346,0,52.2544,94.82024771,4.570831484,6.983753558,0.079702865,0.616862069,0.284076252,14.70107187,4.687552585,0,0.014583564,0,0,V-tail,yes,no,0,summer,0.089681427,10,3.2
13,0.423915452,2.684504178,0,17,1.954989763,0.35,0,142.1353045,250.3105971,LowAcc,400000,14.0730617,0.046638304,0.85725685,18.38096109,3.069768023,2.349557722,0.704867317,0.104980118,0.134628626,0.113164949,0.021463677,0.158843033,0.103912253,1.750985721,2,0,1,0.248686656,3,1,1,Titan,142.1353045,58.57893136,0,52.2544,89.88090448,4.552348271,6.809794897,0.075542833,0.657314328,0.267533754,14.20750793,4.717347543,0,0.014583564,0,0,V-tail,no,no,0,spring,0.030022453,30,3.95
14,0.580983727,3.142725467,0,17,1.884397861,0.35,0,137.8283138,232.5872173,LowAcc,400000,13.4950256,0.033132516,0.659617972,19.90847825,2.18168158,2.309712987,0.692913896,0.069707374,0.128079551,0.11941827,0.008661281,0.15073367,0.070442537,1.719703418,2,0,1,0.237803702,3,1,1,Titan,137.8283138,54.19525029,0,52.2544,85.57391382,5.47815117,6.388122025,0.07611829,0.625338952,0.250169152,13.77715092,4.769029458,0,0.014583564,0,0,V-tail,no,no,0,summer,0.031308413,30,3.8
15,0.37155936,2.424399969,0,15.81904762,1.460846448,0.35,0,183.7723384,413.8563733,LowAcc,400000,17.03864352,0.05144801,0.862675237,16.76790289,3.171688982,2.700971543,0.723843876,0.051354148,0.054678233,0.044378411,0.010299822,0.155788456,0.051831529,2.700971543,3,0,6,0.331392071,3,1,1,Titan,183.7723384,98.28665721,0,52.2544,131.5179384,5.72590955,8.315918332,0.110659775,0.266962436,0.412730234,18.36808894,0.016428355,0,0.014583564,0,0,V-tail,no,no,0,summer,0.00743911,100,4.25
16,0.37155936,2.513266623,0,17,1.460846448,0.35,0,142.1851374,256.1504607,LowAcc,400000,14.04214974,0.053922891,0.9827074,18.22430835,3.603915931,2.354532301,0.70635969,0.0843445,0.122300917,0.113164949,0.009135968,0.163506286,0.083790027,1.754891288,2,0,6,0.25001212,3,1,1,Titan,142.1851374,59.11259653,0,52.2544,89.93073743,4.115992786,6.821820267,0.073978549,0.597125199,0.269677129,14.21248723,4.712476178,0,0.014583564,0,0,V-tail,yes,no,0,winter,0.009026563,100,2.9
17,0.528627635,2.7250614,0,14.04761905,2.378541176,0.35,0,151.3825987,275.5686598,LowAcc,400000,14.5062107,0.038361266,0.68910208,17.96348648,2.174415811,2.421628299,0.72648849,0.088732219,0.146839516,0.138178235,0.008661281,0.474138922,0.088738471,1.807568695,2,0,4,0.267248164,3,1,1,Titan,151.3825987,66.55278717,0,52.2544,99.12819867,4.252548067,7.402709372,0.083686514,0.716933097,0.298105839,15.13152212,4.675322921,0,0.014583564,0,0,V-tail,no,yes,0,summer,0.087377989,10,5
18,0.476271544,2.845455367,0,17,1.460846448,0.35,0,165.0585492,300.1361505,LowAcc,400000,14.44945902,0.046240383,0.84051534,18.17708439,3.006907516,2.529553561,0.758866068,0.070709444,0.101468359,0.088151662,0.013316697,-0.262393549,0.070889742,1.892301364,2,0,6,0.292852139,3,1,1,Titan,165.0585492,78.38726807,0,52.2544,112.8041492,4.30943084,7.957494457,0.097442452,0.495411772,0.342214547,16.49808406,4.702219406,0,0.014583564,0,0,V-tail,no,yes,0,fall,0.029240391,30,4.7
