Case,Planform,Span,Wing_AR,Wing_dhl,Power,L/D,Fuse_L,Fuse_D,PropulsionN,Tail_type,Winglet,Wing_folding,Season,Mass,Sensor_Swath_width,t_mission,Aeroshell_Diameter
1,0.645724035,3.561032444,11.77275175,1.65175071,416.5576028,23.06442131,2.590398235,0.725483108,4.424904445,V-tail,no,yes,fall,171.8403494,10,0.009798633,3.604866067
2,1.065271523,2.135455334,15.41332616,1.938620111,379.2089339,26.65684538,2.632322553,0.767886003,4.287669232,Conventional,yes,no,fall,177.5610109,10,0.09231943,2.88376757
3,0.883277109,4.093872914,11.48657071,2.131695802,261.9426439,22.26102195,2.397214269,0.755746595,4.672320223,Conventional,yes,no,winter,167.0870495,10,0.008873041,2.81767521
4,0.844538332,4.582816651,9.989229753,1.98620747,312.9835198,22.4552284,2.41603887,0.756379333,2.792822253,V-tail,no,yes,summer,171.4699807,10,0.007918058,3.392552832
5,0.950718408,3.366219867,11.30070548,1.705874833,357.016826,18.86361729,2.550304861,0.740839539,4.591221214,Conventional,no,yes,spring,172.4200908,10,0.026464801,3.389879692
6,1.149636024,4.439663921,10.89640149,2.320823785,304.568629,19.94798248,2.648208829,0.747103959,3.288785994,V-tail,no,no,summer,179.3860642,10,0.010050841,2.826437419
7,0.97387894,2.066978342,15.86918392,2.076917689,286.8814874,24.35156564,2.464175745,0.76186596,2.817872288,V-tail,yes,yes,spring,155.1259384,10,0.031101162,2.604828743
8,1.284053607,3.696622241,10.42885315,2.377038739,270.3427349,24.01156019,2.513533318,0.749803299,5.133410555,Conventional,yes,yes,spring,171.1555949,10,0.029192525,2.743830778
9,0.789659615,2.80071195,12.79374696,2.374342208,352.093163,21.67394258,2.35380135,0.76334028,4.184133582,V-tail,no,no,winter,147.1067157,10,0.009028529,3.034169297
10,0.605866892,4.327989145,11.0602661,1.834966496,388.5851982,19.97594668,2.451711602,0.76385279,3.198822857,Conventional,no,yes,spring,159.6141665,10,0.010050841,3.479142561
11,0.809972538,2.795076613,12.2400073,2.123139681,427.6546139,20.85670182,2.53840465,0.759953942,4.191901341,V-tail,yes,yes,winter,158.2716714,10,0.009044807,3.3109914
12,0.888079191,3.677108471,10.47070427,2.670149725,442.0655256,22.07768299,2.564950978,0.745939924,4.848890111,V-tail,no,yes,summer,162.5442113,10,0.009534236,3.18252478
13,1.22859925,2.02455571,10.91985563,2.047155484,377.5852548,20.75734393,2.549336807,0.726383861,2.305117095,Conventional,no,no,winter,161.7037891,10,0.029364524,2.809905091
14,0.876393713,2.782127584,13.98124874,2.294741731,345.558341,22.78422282,2.55162466,0.75283278,2.41261776,V-tail,no,no,winter,169.4326324,10,0.028607819,2.789013551
15,1.17002821,4.252947634,12.53524342,2.049474668,321.6055313,21.51330658,2.5649703,0.734738886,2.525844756,Conventional,no,no,spring,174.9603806,10,0.010387131,3.515154007
16,0.799334787,2.306059076,11.07727807,2.286639913,437.7318849,26.42253493,2.593657296,0.730327398,3.358359696,Conventional,yes,no,spring,160.5985578,10,0.031732158,2.911347985
17,1.193552843,3.658757963,14.77552214,2.111759385,497.1260164,22.71865653,2.421399907,0.754156107,2.850402171,Conventional,yes,yes,fall,110.6830272,10,0.035650343,3.521768922
18,0.987202024,3.390431999,11.33269364,2.253635391,484.4982714,22.9114435,2.576053074,0.746476095,3.644646632,Conventional,yes,no,winter,154.6779727,10,0.086655373,2.935055156
19,0.782203187,2.810287731,13.08022574,2.3739094,268.4956307,24.77046405,2.344201549,0.707979034,4.701987835,V-tail,yes,yes,spring,143.920243,10,0.008033127,2.975789489
20,0.955240817,2.494942954,14.93669898,2.010468996,431.7726561,20.38390174,2.603906838,0.770270273,2.653134034,Conventional,yes,no,spring,170.5545076,10,0.08670514,3.461345119
21,0.989553179,3.677196319,16.58879823,2.307347393,198.6508569,23.49801587,2.375462454,0.767629465,1.803389381,V-tail,yes,no,spring,162.7551338,10,0.028950818,2.319623276
22,0.803134666,2.422495411,10.59910427,1.705227807,381.6701528,19.14425523,2.547649439,0.77108692,1.491074114,V-tail,no,no,winter,166.1426367,10,0.008594987,2.493179889
23,0.963868441,3.327718531,16.44673258,1.989361475,374.6013386,24.14949773,2.558454937,0.756867547,4.837008332,Conventional,yes,yes,fall,174.4683799,10,0.032034804,2.760659616
24,0.930625188,2.638886653,14.69187599,2.704529592,375.0534884,18.70840241,2.607627712,0.732884275,3.807241644,V-tail,no,yes,fall,170.7323328,10,0.094032719,3.330276108
25,0.714976822,2.65560604,11.50989637,2.393398389,396.8683607,21.01788752,2.524346267,0.792059795,2.460116867,V-tail,no,yes,winter,165.0727875,10,0.030374783,2.730822976
26,0.600502983,4.064991668,9.950872273,1.965940648,397.130043,18.18900057,2.468519623,0.736858354,3.022959069,Conventional,no,yes,fall,153.7230969,10,0.029850209,2.970295311
27,1.322688555,2.221098691,14.00335969,2.275357795,349.3688319,18.57765785,2.597557033,0.731059181,2.48932774,Conventional,no,yes,summer,171.6591322,10,0.008963188,3.604354627
28,0.945320316,4.094898976,12.65489709,2.336212063,411.4707747,22.89941741,2.461620847,0.74630354,4.731839731,V-tail,no,yes,winter,157.8227113,10,0.009666572,2.784776291
29,0.73881413,3.218034859,13.00170919,2.211205963,419.3089474,21.58782676,2.599396176,0.764006836,4.260938038,V-tail,no,yes,spring,173.1500901,10,0.009534236,2.566784023
30,0.754466696,3.328552743,10.33866175,2.470024549,332.4602041,23.58194466,2.452636301,0.74370879,5.116877894,V-tail,no,yes,summer,160.9628059,10,0.009078223,3.087784055
31,1.326008811,2.825229334,13.29857259,2.102825193,393.6835026,21.6613119,2.448291814,0.736214547,3.530012253,V-tail,no,yes,summer,146.0151448,10,0.028082254,2.736219176
32,0.72071985,4.229028033,11.99665328,2.314695571,285.6567094,23.37813925,2.449907411,0.735835374,3.148087524,Conventional,yes,yes,fall,167.8955202,10,0.009138777,2.940013443
33,0.879356778,2.657449768,5.10266746,1.649890162,378.4485348,22.1220697,2.443487798,0.727167595,1.90227105,V-tail,yes,no,winter,144.8889001,10,0.088916856,3.070201422
34,0.824777427,4.500879513,12.74757184,1.94072208,374.5139814,21.92441785,2.545383218,0.727824356,3.900860544,Conventional,no,no,summer,169.6566918,10,0.031308413,2.597652309
35,0.895017974,3.026765304,14.4524447,2.171265655,287.7236765,22.30523954,2.750291643,0.748224744,2.513449717,V-tail,no,no,summer,175.366163,10,0.009325801,2.857533984
36,0.800646484,2.812936931,11.88781788,2.354315669,403.9550773,26.2757749,2.629315313,0.743529224,4.371570541,V-tail,no,no,spring,177.3501489,10,0.009350074,3.024602477
37,0.351192046,3.656621674,12.06629029,1.390108741,283.9161427,22.01029263,2.569837092,0.712239061,6.560174471,Conventional,yes,yes,summer,160.8715653,10,0.088683992,3.639571767
38,0.990485957,3.527637962,10.93666768,2.125380284,434.1877059,19.94061452,2.490561212,0.767311218,3.642411934,V-tail,no,no,spring,149.3451296,10,0.06595649,3.602912724
39,0.918115877,3.321517257,14.9374873,2.544214106,340.3667573,19.28888967,2.607320995,0.7661935,3.224278128,V-tail,no,no,spring,178.4909926,10,0.030972219,2.781825072
40,1.107302979,3.961244371,13.53009529,2.514231823,330.5480245,26.09879444,2.563422735,0.699088625,4.371644976,Conventional,no,yes,summer,171.2002438,10,0.092790295,3.07395277
41,0.799168238,1.82773797,10.89355147,2.34522123,370.9557177,21.69160108,2.46186192,0.756773498,2.938035152,V-tail,no,yes,spring,148.0554666,10,0.008783811,3.068920587
42,0.933640752,4.147788988,8.896641301,2.013399449,304.8805536,22.6927534,2.463875427,0.756175059,3.759495251,Conventional,yes,no,winter,173.9358516,10,0.009350074,3.094662862
43,1.000509661,3.516102586,11.51183948,1.722655688,324.1461524,20.9979228,2.553355098,0.778716292,3.550977883,V-tail,yes,yes,fall,178.7735337,10,0.030087189,2.903612628
44,0.877792311,2.673201929,10.41312342,2.193723637,376.7893037,23.54711749,2.494826077,0.768849416,3.782031932,V-tail,no,no,winter,162.0058963,10,0.009166455,2.598071095
45,0.865092401,2.3694117,12.39687515,2.225797926,294.5814635,15.00406922,2.447380743,0.764984736,2.529314708,Conventional,yes,yes,fall,162.1629377,10,0.09231943,3.143972556
46,0.605085519,3.053787118,10.50762286,2.174178219,379.8707511,19.46415372,2.530218497,0.791393068,1.26235985,V-tail,yes,yes,summer,169.9462219,10,0.03096575,3.1270756
47,0.7994683,3.915785772,10.10901811,2.415888277,333.1456338,20.46874201,2.575260966,0.715716071,3.127776096,V-tail,no,no,spring,172.7429473,10,0.006957514,2.44712354
48,0.796562794,3.701501994,11.62594554,1.850716588,346.8919481,20.73726924,2.43627046,0.773724949,3.024467139,V-tail,yes,yes,winter,168.6612499,10,0.028867185,3.300075443
49,0.498307527,2.956237367,16.63027014,1.843655619,432.8164057,19.96376311,2.558902958,0.771261882,3.463664343,Conventional,no,yes,fall,162.0171021,10,0.00818579,3.197232659
50,0.782650805,4.370016328,11.3241187,2.062851127,396.2677673,20.23385451,2.58070784,0.70872164,3.44104923,Conventional,yes,no,fall,173.4606226,10,0.00889309,2.732387874
51,0.900529998,4.765530126,13.32363175,1.893967282,348.233057,19.25276622,2.589493349,0.752355404,2.979168822,V-tail,no,no,summer,177.7995247,10,0.030374783,2.550792173
52,0.745483341,3.176313397,11.96777837,2.058846004,382.1106152,18.77920517,2.5294668,0.751713809,2.564452497,Conventional,yes,no,spring,163.5968426,10,0.008867044,2.82266838
53,0.752186581,3.510951686,11.25673639,1.782544523,391.280328,20.50189045,2.470723102,0.776016898,0.768883123,V-tail,yes,yes,summer,161.5035833,10,0.00870178,2.758836803
54,0.881199149,3.137000928,12.93970839,2.0010934,451.806809,18.99403967,2.650327877,0.692525175,2.934988811,Conventional,no,yes,fall,175.4763118,10,0.026537024,2.476923431
55,0.750228731,3.775902973,11.77514765,2.061836084,270.0306252,17.61125328,2.446526921,0.784184062,2.744513831,V-tail,yes,no,winter,172.1525583,10,0.024220044,2.428957492
56,0.991219933,4.046162837,9.388001178,1.940369882,189.1692655,19.9584776,2.674160478,0.78621761,3.034542126,Conventional,yes,no,spring,146.1782518,10,0.010050841,3.614338624
57,0.987959667,3.028830032,7.656476552,2.033941054,397.1026692,21.36638745,2.531099311,0.764711884,3.717772409,V-tail,no,yes,winter,167.1917993,10,0.028472377,3.166735196
58,1.051466785,3.533259341,12.09376199,2.338054155,237.3527733,15.158257,2.60425225,0.732238162,3.14518263,Conventional,no,no,winter,152.7343485,10,0.028355752,2.632211097
59,0.70605451,1.720149823,13.05649419,2.656266183,320.302419,23.36744749,2.370749273,0.74851564,0.631185051,V-tail,yes,yes,fall,144.9107236,10,0.098001962,2.507939633
60,0.608161337,3.934551037,10.8890414,2.171575199,326.9993125,19.88308932,2.541791909,0.765038496,3.482026319,Conventional,no,no,summer,175.7529465,10,0.106026473,3.559300738
61,0.855238521,2.774953576,10.95180705,2.34081213,353.7649567,22.59729596,2.282742226,0.767472019,4.182390731,Conventional,no,no,winter,142.3600097,10,0.008017582,2.835434133
62,0.597201553,3.424684785,9.562352366,2.032301202,337.9100602,20.32062047,2.422707957,0.766216006,5.937278476,Conventional,yes,yes,summer,161.8836265,10,0.105735835,3.173733134
63,0.973631165,3.793094938,12.0072549,2.100831366,350.2428965,18.56195419,2.503658633,0.74674771,3.417981278,Conventional,yes,no,winter,164.9563299,10,0.094197283,2.957267488
64,0.984149679,3.713298787,13.80855546,2.482675632,250.1077473,18.16023154,2.70170119,0.738272716,4.326871418,V-tail,no,yes,summer,163.914746,10,0.034578846,3.003198881
65,1.305983629,3.79253526,11.50268808,1.977934297,383.5392571,19.21251994,2.391990654,0.769319167,3.42031614,Conventional,yes,no,summer,150.139687,10,0.091192681,2.737810701
66,0.737324232,4.724188335,9.892877484,2.152406686,486.7919432,22.86305236,2.445675387,0.776591542,3.407518948,Conventional,no,no,fall,124.0669795,10,0.088962014,3.020304446
67,0.794514801,2.980320212,10.14510779,2.32483476,401.257546,21.55396782,2.440620013,0.752865407,3.105846967,Conventional,no,no,fall,148.6421483,10,0.08252389,3.140423401
68,0.807543855,4.352994667,11.78327181,2.20136743,377.5704619,23.47528724,2.560806108,0.739258532,2.888174998,V-tail,yes,no,fall,179.012912,10,0.009566978,2.944258172
69,0.890528696,2.676121038,16.13272288,1.780229183,295.7106711,18.33588399,2.570139451,0.728131587,3.951213109,V-tail,no,yes,spring,164.0575108,10,0.024220044,3.012413803
70,0.623509547,2.67565679,14.05396857,1.84478378,306.9213556,21.22461052,2.519882112,0.761174172,3.837095588,Conventional,no,no,spring,167.9177981,10,0.007052015,3.105474517
71,0.585185347,3.445045197,12.25740463,2.193574149,389.1242222,17.37015652,2.482786185,0.733082907,4.605724833,Conventional,no,no,winter,154.1799097,10,0.089681427,2.779878593
72,0.821603523,3.669908144,8.024152499,2.759405683,374.3147642,17.45619623,2.429998286,0.725866217,4.27462398,Conventional,yes,no,winter,150.1917797,10,0.089409877,3.101509527
73,0.682797624,3.939664974,7.297403659,1.832990714,372.6482802,19.96446232,2.622453331,0.708140733,4.359217654,V-tail,no,no,spring,176.2122371,10,0.028607819,2.518066677
74,0.836970293,3.011280698,11.8283112,2.209494393,436.2837821,23.1564243,2.641035053,0.733385158,4.093062128,Conventional,no,no,winter,175.1844823,10,0.086631854,2.870602832
75,0.728497516,2.65399552,11.79906724,2.108570076,418.9849093,19.30570474,2.236734048,0.714560175,3.736806919,Conventional,no,no,winter,92.03456591,10,0.008215298,3.127816932
76,0.900032543,3.902633292,13.75430698,1.771205743,334.7502661,20.21080089,2.522578955,0.745831055,5.125700705,Conventional,yes,yes,summer,172.8585691,10,0.10486902,2.509355829
77,0.321377764,2.864124858,12.48401751,2.332018422,380.2401057,21.9172096,2.529603603,0.740395575,3.485798784,Conventional,no,yes,winter,160.012977,10,0.028927605,2.897722099
78,0.473493285,3.601757318,13.01895615,1.753539631,311.517282,21.25855852,2.546532605,0.696186897,2.976579105,Conventional,yes,no,fall,161.7896304,10,0.028904839,3.734281943
79,1.006136719,2.205260174,15.36031919,1.879804636,258.2315327,19.50075693,2.502236109,0.752363368,4.83887007,Conventional,no,no,winter,158.7249203,10,0.008937015,2.838628053
80,1.126297657,3.222867091,15.42658329,2.187489843,302.3402416,23.33977096,2.539752874,0.771697752,2.311630928,Conventional,no,no,fall,173.4228362,10,0.092967658,3.101098889
81,0.579556781,3.751108146,8.618842046,2.314278085,197.4203692,24.46961002,2.498248401,0.709004151,3.784149784,Conventional,yes,no,fall,143.1790814,10,0.10162336,3.640525538
82,1.228932022,3.975313348,10.30558471,2.365072004,332.9249003,17.97149542,2.415434426,0.728835375,4.500085867,V-tail,no,no,winter,155.9449707,10,0.090189558,2.680058524
83,0.995629467,1.858677321,8.573109611,2.209327384,352.2322902,17.2378306,2.463769587,0.801878445,1.218028588,V-tail,yes,no,winter,165.6269982,10,0.092790295,2.732937738
84,1.034411426,3.693729999,14.07986294,2.160878862,421.7027979,17.87421322,2.543000363,0.707172675,4.026594384,Conventional,no,no,fall,159.0428323,10,0.09006078,2.69014385
85,0.73413996,4.119282352,13.05450116,2.315599605,288.7127628,22.54550361,2.492254547,0.767492634,4.096621129,V-tail,yes,no,winter,174.6071877,10,0.007084538,2.782976894
86,0.81488305,2.850442747,12.72248503,2.371619178,356.8536641,21.34645763,2.552581657,0.749733749,3.029794064,V-tail,yes,no,summer,167.7938077,10,0.029276898,3.151193818
87,1.147720156,3.755639998,13.60425961,2.057001795,320.923153,19.59329033,2.463773632,0.753759816,3.233041504,Conventional,no,no,spring,163.9436754,10,0.030227702,3.115775244
88,0.763237194,3.205509335,15.25879938,2.278066091,304.8728056,18.89896147,2.621948818,0.760717448,2.958197939,Conventional,no,yes,spring,174.884872,10,0.00889309,2.780689217
89,0.712906421,2.711399309,15.2351615,1.932679391,308.8133792,22.21223792,2.557951188,0.756875602,3.832748399,Conventional,yes,no,summer,168.4230865,10,0.008928935,2.922580066
90,0.92002416,3.480285094,10.96813852,1.925677013,282.1074652,22.68430171,2.593610804,0.748822599,1.512451269,Conventional,no,yes,fall,171.4354795,10,0.030022453,3.020431211
91,0.842084552,2.990310109,10.85996693,2.144790142,489.7544244,22.08622109,2.523690494,0.737914629,4.511663009,Conventional,no,no,fall,133.0870791,10,0.025365057,3.67862306
92,1.170716682,4.121257967,12.19611961,2.48840598,360.830419,22.37520515,2.429376658,0.7159703,4.36721534,V-tail,yes,yes,fall,158.7188001,10,0.087812699,2.742272636
93,0.971276209,2.429305241,13.85890599,2.013510124,326.6198499,21.75504637,2.642591264,0.757318753,4.086575604,V-tail,no,no,fall,176.3733221,10,0.091247108,3.154445025
94,0.569207166,2.514858774,11.58190185,1.738952765,386.539948,19.0974368,2.434694643,0.764990489,5.687866296,V-tail,no,yes,summer,145.1913032,10,0.092790295,2.687834848
95,0.986726476,3.71808467,13.00020445,2.14526562,365.2358924,22.68714659,2.523394373,0.791733737,3.953604197,Conventional,no,no,winter,176.6394809,10,0.029609044,3.469558601
96,1.101258865,3.239352107,13.56964103,2.758387306,373.8089334,21.51287881,2.551229066,0.776445891,2.956153143,V-tail,yes,yes,summer,172.7285722,10,0.105109218,3.191033686
97,1.243020785,3.854799197,9.509544221,1.930108538,388.3810337,20.48579346,2.496488129,0.708663656,3.826844701,V-tail,yes,yes,summer,161.1171135,10,0.007117416,3.248543415
98,1.348154601,3.518268695,9.609583255,1.760788822,368.0237857,18.06678428,2.500240123,0.759933112,5.421015791,Conventional,no,yes,winter,165.7780325,10,0.028642674,2.610613131
99,1.103891037,3.344403045,10.40628439,2.009160588,446.4111086,20.82567427,2.606011728,0.76162914,2.566238425,Conventional,yes,no,fall,172.4099263,10,0.029240391,3.743622297
100,1.003249592,2.4135904,14.32477022,2.082307953,261.3251055,20.54351358,2.391493748,0.767896834,3.164025812,Conventional,no,no,winter,162.3342453,10,0.009310999,2.87375713
101,1.014216116,3.314429838,12.21915427,2.340935062,380.2817587,20.55428141,2.608544774,0.787497266,5.439585425,V-tail,yes,yes,summer,179.8636078,10,0.008536556,2.362887086
102,0.84790986,2.534136548,9.838300074,2.557862172,393.761527,24.36517913,2.62575808,0.806503668,2.793841193,V-tail,yes,no,summer,174.8596508,10,0.006996614,2.673978099
103,0.740312873,2.234721896,11.41011716,1.976153175,367.7524378,20.28386293,2.541527153,0.743270738,3.854201948,Conventional,yes,no,summer,161.7420072,10,0.087861911,2.476114675
104,0.573538103,3.689629738,10.61009832,2.044769626,348.3649536,21.84319016,2.563721031,0.709699554,3.097364124,Conventional,no,yes,fall,170.6669153,10,0.085666359,3.162321761
105,1.183176057,3.213233828,12.58675075,2.616986907,275.9170559,23.34700504,2.634234061,0.779103564,2.954469697,V-tail,no,yes,summer,171.3924866,10,0.022160415,2.471888699
106,0.956274527,3.935365706,8.830544625,1.816595576,373.9615109,23.4604285,2.526249731,0.770063649,3.587924764,Conventional,yes,yes,spring,178.0894065,10,0.0336702,2.441548293
107,0.840119143,2.119125351,8.743008975,2.169850547,412.8644219,25.40886219,2.488496076,0.764095712,3.188832545,Conventional,yes,no,spring,149.512394,10,0.10162336,2.967333135
108,0.819326962,4.025423429,8.256189472,2.643208813,320.2629975,25.32389294,2.528613463,0.736314961,3.659585961,Conventional,yes,yes,summer,174.7695848,10,0.009225998,2.968915207
109,0.885894326,3.747490724,13.71967438,2.156409129,285.364455,17.60286447,2.603368736,0.718352079,2.741220717,Conventional,yes,no,fall,163.4169623,10,0.025365057,2.803723694
110,0.879273938,3.489765321,10.22742904,2.017734654,364.3879354,15.50411004,2.588945659,0.710244911,3.813796832,V-tail,yes,yes,summer,171.8657294,10,0.008017582,3.363543152
111,0.609636991,3.398832035,11.17541757,1.854614969,393.9462952,21.85650381,2.514990806,0.791581026,1.962787108,V-tail,no,no,fall,167.4783838,10,0.088683992,3.149590687
112,1.078784789,3.121134667,12.30004409,2.484914897,369.775294,19.48872891,2.364753382,0.778266291,3.948804367,Conventional,yes,no,winter,147.0814163,10,0.086655373,2.902617417
113,1.034379197,2.613287502,12.90568295,2.012602571,425.5471922,16.17097611,2.488496323,0.758215474,4.007955667,V-tail,yes,yes,summer,147.4965355,10,0.087821968,3.450257592
114,0.437483078,2.727311629,12.32376246,2.15835822,244.7766902,22.53768517,2.708839876,0.754380961,2.821302694,V-tail,yes,no,summer,158.8353017,10,0.032457072,2.867479839
115,0.904331285,3.285191418,11.1200657,1.994496001,327.7897948,21.77373949,2.357546217,0.803427209,3.990870168,V-tail,yes,no,spring,164.6792902,10,0.032225726,2.622580132
116,1.162710921,2.667112753,10.56392578,2.017933179,471.2235756,17.42792973,2.420624329,0.822489394,3.134232293,Conventional,yes,yes,summer,123.715853,10,0.029010263,2.918068132
117,0.694936496,3.158813397,11.79519319,1.976243687,427.6099573,18.17817224,2.425656184,0.722665077,1.790726705,V-tail,yes,yes,fall,130.8144724,10,0.090623275,2.851129891
118,0.9789389,3.762147835,11.59058662,2.554275817,383.080992,22.23355675,2.456369169,0.754451076,3.153201901,Conventional,yes,yes,fall,160.7532084,10,0.030467686,2.831577829
119,0.712277177,4.16474777,13.92850935,1.913979695,398.8554534,19.47677096,2.352316288,0.745005512,3.320474272,V-tail,yes,yes,fall,135.672054,10,0.006961647,2.947816358
120,0.797700848,3.768359235,12.3775133,2.056369345,363.2862295,20.47345433,2.550519202,0.719976077,4.252889712,V-tail,yes,yes,fall,171.9586771,10,0.087726101,2.769553185
121,1.178379347,4.021322329,13.22596138,2.264094969,447.0550563,23.39866763,2.612268194,0.740701606,5.721964252,V-tail,yes,no,summer,172.3527241,10,0.085826998,3.429884829
122,0.910266122,3.585320962,10.32521073,2.136185138,273.7593611,18.40092724,2.561904355,0.731499996,4.571118859,Conventional,yes,yes,winter,164.1797581,10,0.007508939,2.916288699
123,0.92143678,4.120113861,13.26760131,2.490483588,463.0759005,23.69598602,2.543263049,0.75484513,4.887496445,Conventional,no,yes,fall,160.1103446,10,0.029664493,2.910488795
