Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
4,0.37155936,2.513266623,0,17,1.460846448,0.35,0,146.5704761,270.5268436,LowAcc,4566285.929,14.46968695,0.054038984,0.954037514,17.65461598,3.494463882,2.384775079,0.715432524,0.060404134,0.0843063,0.158037805,0.06054987,1.778635046,2,0,4,0.257923695,3,1,1,Titan,146.5704761,62.85624576,0,52.2544,94.31607609,4.176244395,7.157298256,0.077298242,0.411619286,0.282598368,14.65067797,4.689510241,0,0.014583564,0,V-tail,no,yes,0,spring
5,0.37155936,2.513266623,0,17,1.460846448,0.35,0,140.6345036,247.9347844,LowAcc,4391658.828,13.91632706,0.054670679,0.989645957,18.10195112,3.467992496,2.339287979,0.701786394,0.153429332,0.168184824,0.161626843,0.150975399,1.742922893,2,0,4,0.245927711,3,1,1,Titan,140.6345036,57.81860914,0,52.2544,88.38010361,3.91852776,6.685532479,0.072604637,0.821149986,0.263092111,14.05754644,4.728457491,0,0.014583564,0,V-tail,yes,no,0,fall
6,1.156900736,3.582748822,0,11.0952381,2.519724981,0.35,0,148.6142761,244.2191469,LowAcc,4324646.621,13.70397819,0.018587832,0.34636703,18.63407333,0.410618332,2.37379793,0.712139379,0.100940486,0.201383207,0.147176661,0.103463827,1.77001683,2,0,1,0.25508042,3,1,1,Titan,148.6142761,61.64054089,0,52.2544,96.35987606,6.913262675,6.890297809,0.088517269,0.983238641,0.277929607,14.85492855,4.696577053,0,0.014583564,0,V-tail,no,yes,0,spring
8,0.633339819,3.281276721,0,17,2.872684492,0.35,0,141.7369551,222.5526074,LowAcc,4289130.884,13.59143561,0.030349063,0.613452685,20.21323289,1.968590144,2.335033498,0.700510049,0.051190829,0.063039692,0.151395236,0.052739541,1.739582679,2,0,2,0.244775645,3,1,1,Titan,141.7369551,57.72134093,0,52.2544,89.48255514,5.657254659,6.53870176,0.080431433,0.307786642,0.261245315,14.16772097,4.733489863,0,0.014583564,0,V-tail,no,yes,0,fall
9,0.37155936,2.513266623,0,17,1.460846448,0.35,0,139.0631669,242.0024013,LowAcc,4360572.852,13.81782154,0.054983687,0.992590652,18.05245711,3.413015339,2.324084196,0.697225259,0.182262037,0.201383207,0.172293921,0.179096903,1.730986327,2,0,3,0.241785452,3,1,1,Titan,139.0631669,56.50081369,0,52.2544,86.80876695,3.769107562,6.565124431,0.071238091,0.983238641,0.256473795,13.90053555,4.747651624,0,0.014583564,0,V-tail,yes,yes,0,winter
10,0.895120277,3.546027165,0,14.04761905,2.872684492,0.35,0,142.633061,228.6584141,LowAcc,4240451.048,13.43717852,0.022511638,0.446877063,19.85093473,1.045408741,2.337712893,0.701313868,0.058651151,0.076316775,0.146944689,0.061449005,1.741686286,2,0,4,0.245501826,3,1,1,Titan,142.633061,57.64417044,0,52.2544,90.37866098,6.454400699,6.559585726,0.083345508,0.37261102,0.262408859,14.25726455,4.730290608,0,0.014583564,0,V-tail,no,no,0,fall
11,0.633339819,3.281276721,0,17,2.872684492,0.35,0,134.8367065,219.6562317,LowAcc,4096912.527,12.98233239,0.030737049,0.639633681,20.80986012,2.076835505,2.284629522,0.685388857,0.076861348,0.107583383,0.174432645,0.077523358,1.700010263,2,0,6,0.230689364,3,1,1,Titan,134.8367065,51.56375681,0,52.2544,82.58230653,5.755531583,6.120880415,0.074717425,0.525267925,0.239044968,13.47384606,4.814677783,0,0.014583564,0,V-tail,yes,yes,0,spring
13,0.37155936,2.513266623,0,17,2.519724981,0.35,0,145.5628142,266.9842459,LowAcc,4505940.464,14.27846371,0.05387885,0.973026579,18.05952772,3.591096674,2.374378183,0.712313455,0.054825073,0.061214611,0.155855619,0.055124406,1.77047239,2,0,6,0.255231509,3,1,1,Titan,145.5628142,62.10712361,0,52.2544,93.30841424,4.255207231,7.031925215,0.0763588,0.298875821,0.278176993,14.54999456,4.69616844,0,0.014583564,0,V-tail,yes,no,0,fall
15,0.895120277,3.151439766,0,11.0952381,2.16676547,0.35,0,152.0308614,265.0847779,LowAcc,4511820.212,14.29709551,0.02342198,0.420746154,17.96373131,0.848024821,2.403435179,0.721030554,0.077079772,0.13303072,0.138207567,0.079252372,1.793285185,2,0,1,0.262686376,3,1,1,Titan,152.0308614,65.34612956,0,52.2544,99.77646144,6.303971721,7.207289444,0.087605582,0.64951267,0.290481663,15.19631643,4.680570799,0,0.014583564,0,V-tail,yes,no,0,fall
16,1.418681194,3.967443211,0,11.0952381,1.460846448,0.35,0,142.6356646,215.6508932,LowAcc,4049215.175,12.83118861,0.015697615,0.309225266,19.69886971,0.040744459,2.320299734,0.69608992,0.05964939,0.107583383,0.139630893,0.066155453,1.728015126,2,0,1,0.2407433,3,1,1,Titan,142.6356646,56.07895677,0,52.2544,90.38126465,8.060325614,6.350906462,0.085900277,0.525267925,0.254818237,14.25754003,4.752965765,0,0.014583564,0,V-tail,yes,yes,0,fall
