,Unnamed: 0,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
0,0,1.0,0.3546702984905231,1.3316724418762351,30.0,5.0,1.4380748663101606,0.35,0.0,553.9954628687125,1675.687667464044,LowAcc,9697995.54925896,30.731093458497977,0.0457598295517243,0.3770296989979374,8.239316070261243,1.2307297419806351,10.024044154621212,0.7322143937948284,0.1236965303010428,0.0623612108058032,0.0423612108058032,0.02,0.168941141727946,0.1297226933269075,10.024044154621212,11.0,0.0,4.0,0.6684129262077976,3.0,Fuselage greater than aeroshell diameter,1,Titan,553.9954628687125,382.2593538695559,0.0,52.2544,501.7410628687125,7.604912250066746,53.33185961211468,1.606008986655211,0.3044740080007394,1.223938440761827,55.392192149749945,0.0037399873671575,0.0,0.0145835644403307,0.0,0.0,No_tail,yes,yes,0.0,fall
1,1,2.0,0.4365172904498746,1.6079569302651482,30.0,5.923076923076923,1.5484294529000413,0.35,0.0,420.1165282020792,1229.5958769585695,LowAcc,8803892.566729035,27.89785207597864,0.0358472366117329,0.3231655450160294,9.015075513805604,0.8843845042816774,7.311776944602237,0.7342742786944149,0.155535564740379,0.0721368748379116,0.0521368748379116,0.02,0.1744645568520692,0.1622856762500815,7.311776944602237,8.0,0.0,4.0,0.5710977322394043,3.0,Fuselage greater than aeroshell diameter,1,Titan,420.1165282020792,281.06836244143074,0.0,52.2544,367.86212820207913,6.727274244527185,35.88648526779181,0.8502021368765054,0.3522029659581712,0.9552672369063068,42.00242269945463,0.0053276446933957,0.0,0.0145835644403307,0.0,0.0,No_tail,yes,yes,0.0,fall
2,2,3.0,0.518364282409226,1.8838263257860848,30.0,6.846153846153847,1.6587840394899225,0.35,0.0,409.08293562774566,1189.2228640033018,LowAcc,8527066.964988349,27.02064467826561,0.0318786748790932,0.3051252051877985,9.571451961069638,0.7515291424110555,7.247274596724124,0.7281124586179029,0.1822568355594249,0.08191253887002,0.06191253887002,0.02,0.2081386818651551,0.1905980774741293,7.247274596724124,8.0,0.0,4.0,0.561458597819898,3.0,Fuselage greater than aeroshell diameter,1,Titan,409.08293562774566,271.91019074933376,0.0,52.2544,356.8285356277456,7.263670398620956,34.53452369979802,0.870717823411545,0.3999319239156029,0.9301397776064488,40.89936169782808,0.0054159927909236,0.0,0.0145835644403307,0.0,0.0,No_tail,yes,yes,0.0,fall
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
