,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
0,3,1.052188552,2.927084055,0,8.142857143,1.460846448,0.35,0,173.2360803,345.894637,LowAcc,400000,16.26666756,0.018079219,0.315074332,17.42743048,0.161049136,2.552816784,0.765845035,0.09859188,0.177748254,0.144431557,0.033316697,0.156132772,0.101839281,1.910565438,2,0,2,0.298083084,3,1,1,Titan,173.2360803,80.99161689,0,52.2544,120.9816803,7.779063804,8.839276629,0.103802244,0.867842728,0.351497716,17.31517076,4.718825922,0,0.014583564,0,0.0,V-tail,no,no,0,fall,0.077921523,10,5.0
1,7,0.528627635,2.421827714,0,11.0952381,2.519724981,0.35,0,163.9989303,333.2626163,LowAcc,400000,15.97785602,0.037398666,0.615346275,16.45369594,1.812234128,2.509162795,0.752748838,0.062787302,0.070497504,0.044378411,0.026119093,0.151342902,0.063806688,1.87629247,2,0,1,0.288189018,3,1,1,Titan,163.9989303,76.18371967,0,52.2544,111.7445303,5.16740352,8.527773353,0.090185743,0.344198859,0.334016255,16.39215127,4.690498034,0,0.014583564,0,0.0,V-tail,no,no,0,spring,0.079330012,10,4.55
2,8,0.423915452,2.440287438,0,14.04761905,1.460846448,0.35,0,151.4993669,289.9022423,LowAcc,400000,14.79631112,0.04818243,0.826589895,17.15542147,2.875879565,2.421941264,0.726582379,0.068457421,0.078823419,0.056885055,0.021938364,0.155413799,0.068668279,1.807814405,2,0,4,0.267325956,3,1,1,Titan,151.4993669,66.58526066,0,52.2544,99.24496688,4.546469658,7.516729296,0.08039431,0.384849524,0.298236476,15.14318238,4.675261006,0,0.014583564,0,0.0,V-tail,yes,yes,0,spring,0.085664832,10,3.8
3,9,1.418681194,3.860428494,0,10.5047619,2.590316883,0.35,0,146.280074,221.766253,LowAcc,400000,13.22632012,0.013969353,0.298461096,21.36542077,-0.045086719,2.301216804,0.690365041,0.071405075,0.145062676,0.11941827,0.025644406,0.152222078,0.077973514,1.713033022,2,0,5,0.235418037,3,1,1,Titan,146.280074,53.29868727,0,52.2544,88.63735251,8.540173645,6.339002255,0.085670867,0.708257806,0.246418717,14.62130572,4.783252665,0,0.014583564,0,5.388321455,V-tail,yes,yes,2,winter,0.095833422,10,3.65
4,10,1.261612919,3.536663815,0,9.914285714,2.872684492,0.35,0,147.0048541,250.2805808,LowAcc,400000,14.10167277,0.015005265,0.296708312,19.77361323,-0.060865798,2.35992525,0.707977575,0.043757158,0.114270755,0.088151662,0.026119093,0.097249581,0.050799904,1.759125319,2,0,6,0.251441165,3,1,1,Titan,147.0048541,59.75983367,0,52.2544,94.75045409,7.758198804,6.899717709,0.086546622,0.557918525,0.271994894,14.69410188,4.707558426,0,0.014583564,0,0.0,V-tail,no,yes,0,summer,0.089884621,10,5.0
5,12,0.476271544,2.693127407,0,15.22857143,1.460846448,0.35,0,147.0746477,252.3714832,LowAcc,400000,14.13362342,0.042941051,0.782783354,18.2292546,2.686434786,2.388261412,0.716478424,0.100400466,0.126343348,0.094404984,0.031938364,0.174269129,0.099649845,1.781372184,2,0,1,0.258820182,3,1,1,Titan,147.0746477,62.88181346,0,52.2544,94.82024771,4.570831484,6.983753558,0.079702865,0.616862069,0.284076252,14.70107187,4.687552585,0,0.014583564,0,0.0,V-tail,yes,no,0,summer,0.089681427,10,3.2
6,17,0.528627635,2.7250614,0,14.04761905,2.378541176,0.35,0,151.3825987,275.5686598,LowAcc,400000,14.5062107,0.038361266,0.68910208,17.96348648,2.174415811,2.421628299,0.72648849,0.088732219,0.146839516,0.138178235,0.008661281,0.474138922,0.088738471,1.807568695,2,0,4,0.267248164,3,1,1,Titan,151.3825987,66.55278717,0,52.2544,99.12819867,4.252548067,7.402709372,0.083686514,0.716933097,0.298105839,15.13152212,4.675322921,0,0.014583564,0,0.0,V-tail,no,yes,0,summer,0.087377989,10,5.0
7,19,0.580983727,2.538927487,0,11.0952381,2.590316883,0.35,0,160.4558415,313.8342616,LowAcc,400000,15.30848825,0.03368665,0.59674994,17.7147307,1.64264247,2.478131733,0.74343952,0.112767513,0.168912108,0.144431557,0.024480551,0.139000598,0.11235955,1.851929826,2,0,6,0.28094411,3,1,1,Titan,160.4558415,72.76998963,0,52.2544,108.2014415,5.361791474,8.104149195,0.088482845,0.824700898,0.321424005,16.03813408,4.67818579,0,0.014583564,0,0.0,V-tail,yes,no,0,summer,0.082798738,10,5.0
8,27,0.738052002,2.784431818,0,10.5047619,2.80209259,0.35,0,162.9575031,322.7316579,LowAcc,400000,15.46089399,0.027769191,0.467717505,16.84303697,1.109940666,2.490817078,0.747245123,0.082636909,0.13579248,0.113164949,0.022627531,0.150595069,0.084114761,1.861889155,2,0,3,0.283928133,3,1,1,Titan,162.9575031,74.16603697,0,52.2544,110.7031031,6.214787772,8.25419154,0.093435193,0.662996759,0.326589036,16.28810588,4.682376351,0,0.014583564,0,0.0,V-tail,no,no,0,winter,0.08198255,10,3.05
9,28,0.37155936,2.513266623,0,17.0,2.872684492,0.35,0,144.763709,266.8506424,LowAcc,400000,14.23543164,0.054448752,0.973544136,17.88000825,3.586014337,2.374689987,0.712406996,0.057638636,0.063039692,0.044378411,0.018661281,0.155518885,0.057855474,1.770717189,2,0,6,0.255312661,3,1,1,Titan,144.763709,61.38477939,0,52.2544,92.50930899,4.261599415,7.020118287,0.076038698,0.307786642,0.2783099,14.47014258,4.695950512,0,0.014583564,0,0.0,V-tail,yes,no,0,spring,0.089040048,10,5.0
