,Unnamed: 0,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,0,25.0,0.5576856930316302,2.3474860662298,0.0,9.881355932203393,2.0216448835312244,0.35,0.0,185.5830530704901,424.4800278611924,LowAcc,5714430.90509951,18.10793883279942,0.0318703404373088,0.5138971445786785,16.124620494391927,1.3568609125519049,2.686881939544896,0.7202546479911138,0.0661170528899708,0.0802908324809917,0.1507465396245078,0.0674682827696762,2.686881939544896,3.0,0.0,4.0,0.3277744254301467,3.0,1,1,Titan,185.5830530704901,97.58674021712643,0.0,52.2544,133.32865307049013,6.8613438954178765,9.393218771061148,0.1093226991746936,0.3920140621921434,0.4059041773322011,18.54893126809524,0.0165944156500505,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
1,1,26.0,0.570457121116324,2.398523511451713,0.0,10.084745762711863,2.045960300915436,0.35,0.0,170.2617880561648,350.44894981258506,LowAcc,5135747.2280560825,16.27420091532969,0.0346721368945666,0.5706374465368195,16.458098566928594,1.5273172308314535,2.541784851751652,0.7625354555254956,0.0588812265249044,0.0821229580565101,0.1511958901991021,0.0603229396619527,1.9019042121303795,2.0,0.0,4.0,0.2956139945761211,3.0,1,1,Titan,170.2617880561648,80.76807515818363,0.0,52.2544,118.0073880561648,5.758270375012931,8.895453196880403,0.0944526054378987,0.4009592800596392,0.3471045307020001,17.017953357550073,4.710535987897896,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
2,2,27.0,0.5832285492010179,2.449558000133341,0.0,10.28813559322034,2.070275718299647,0.35,0.0,166.8642205887674,338.00422160670155,LowAcc,5065325.263358158,16.051047175191265,0.0339138658678631,0.5623194913603543,16.580813686982488,1.4961004331110777,2.5166885683401534,0.755006570502046,0.0597931131476812,0.083955068085892,0.150491936046975,0.0612833043201132,1.8822009931590884,2.0,0.0,4.0,0.2899188037254364,3.0,1,1,Titan,166.8642205887674,77.97057292513246,0.0,52.2544,114.6098205887674,5.787007211324687,8.62548063061795,0.0922542058990061,0.4099044220242714,0.3370489036291231,16.67846522098871,4.694503504710845,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
3,3,28.0,0.5959999772857117,2.5005897132946138,0.0,10.491525423728811,2.094591135683858,0.35,0.0,160.59914356218712,313.8623837690261,LowAcc,4977438.24512271,15.772550020035458,0.0320032246587694,0.5484772081364777,17.138185729236692,1.4361483569503102,2.470940863427789,0.7412822590283367,0.0608095801542535,0.0857871635059836,0.1506576864570016,0.0623649577896619,1.84628423877189,2.0,0.0,4.0,0.2792384124459159,3.0,1,1,Titan,160.59914356218712,72.87104067364905,0.0,52.2544,108.34474356218712,5.733221687539303,8.172106925584721,0.0876554716292803,0.4188494926601221,0.318485154935208,16.052448483786225,4.676352107962892,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
4,4,29.0,0.6087714053704055,2.5516188174645955,0.0,10.694915254237287,2.1189065530680686,0.35,0.0,155.93472873398625,298.3772742693097,LowAcc,4899187.564391582,15.524588575783904,0.030959719777085,0.5381629994783605,17.382683155830264,1.391642350342576,2.4370753759623094,0.7311226127886927,0.0615938432555455,0.0876192451798059,0.1508830818747847,0.0631830937416935,1.81969627336837,2.0,0.0,4.0,0.2710611437649374,3.0,1,1,Titan,155.93472873398625,69.09602844356563,0.0,52.2544,103.68032873398624,5.662060235144529,7.831149588710282,0.0844483377414491,0.4277944961808278,0.3045333654367455,15.586372207688356,4.67335849507811,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
5,5,30.0,0.6215428334550993,2.602645466103864,0.0,10.898305084745765,2.14322197045228,0.35,0.0,151.70037360940495,282.9198194488572,LowAcc,4823677.135866469,15.285310466786031,0.0297937902885881,0.5289717619066191,17.75442992593092,1.351026227117656,2.405580472694883,0.7216741418084648,0.0623367245299171,0.0894513139036885,0.1502519746945398,0.063988848757015,1.7949694656023485,2.0,0.0,4.0,0.2632284039685991,3.0,1,1,Titan,151.70037360940495,65.58526707800077,0.0,52.2544,99.44597360940496,5.665870303495441,7.5275104586853185,0.0815722869656138,0.436739436474409,0.2913838085288012,15.163267302912638,4.679779369901643,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
6,6,31.0,0.6343142615397932,2.6536698008624904,0.0,11.10169491525424,2.1675373878364907,0.35,0.0,148.8040765456231,272.1972376670748,LowAcc,4757657.8664588295,15.0761080261453,0.0290415432386159,0.5226335699364342,17.996067414265312,1.3247814224071708,2.384324750015931,0.7152974250047792,0.0632445986932196,0.0912833704135928,0.1505855952330371,0.0649246521415275,1.7782814902767052,2.0,0.0,4.0,0.2578076688987302,3.0,1,1,Titan,148.8040765456231,63.2158751371909,0.0,52.2544,96.54967654562309,5.63357010660439,7.314109601496737,0.0798096095191794,0.4456843171341426,0.2824072987611398,14.87386388241988,4.689773028056394,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
7,7,32.0,0.647085689624487,2.704691952695377,0.0,11.305084745762713,2.1918528052207016,0.35,0.0,146.74212099544053,262.71490267564474,LowAcc,4700013.63814701,14.893444489273612,0.0282540128333229,0.5176880316451217,18.32263737894809,1.3047954904539982,2.369128756596401,0.7107386269789203,0.0648076989795497,0.0931154153907276,0.1510179008358237,0.0664744749254595,1.7663510390253416,2.0,0.0,4.0,0.2538613692598411,3.0,1,1,Titan,146.74212099544053,61.521965930495895,0.0,52.2544,94.48772099544054,5.630637797889834,7.143419450908111,0.0787068067144894,0.4546291414859808,0.2759364949310519,14.667830737170334,4.700011071404521,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
8,8,33.0,0.6598571177091808,2.7557120428534785,0.0,11.508474576271189,2.216168222604913,0.35,0.0,145.6778285578995,257.0800672960263,LowAcc,4649790.192315337,14.734295993089898,0.0278634009612718,0.5149323821766278,18.480600515792972,1.2998831052717263,2.360645666137162,0.7081936998411487,0.0699071970119499,0.0949474494665507,0.1667449512470361,0.0714379620359716,1.7596909218226855,2.0,0.0,4.0,0.2516314496501211,3.0,1,1,Titan,145.6778285578995,60.57634923842338,0.0,52.2544,93.42342855789948,5.704188423666522,7.045652406236751,0.0783614222284517,0.4635739126129692,0.2723040542378812,14.56148595271144,4.70692958334176,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
9,9,34.0,0.6726285457938747,2.8067301837667338,0.0,11.71186440677966,2.240483639989124,0.35,0.0,143.7504260865732,249.70599908222923,LowAcc,4594105.506432596,14.557841871475002,0.0273496881551105,0.51062877077609,18.670369032367727,1.2669426877809622,2.3456255336326635,0.703687660089799,0.0651599320777765,0.0967794732272303,0.1658867460872426,0.0669537060096423,1.7478985398647122,2.0,0.0,4.0,0.2476339132643625,3.0,1,1,Titan,143.7504260865732,58.90204338472042,0.0,52.2544,91.4960260865732,5.776264617403004,6.897153367582424,0.0772990572933384,0.4725186333770311,0.2658357819201517,14.368896445232611,4.72143123460389,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
