,Unnamed: 0,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
0,0,3.0,1.418681194,3.39884072798398,0.0,8.142857143,2.872684492,0.35,0.0,170.4592923795425,328.4606014839668,LowAcc,4528554.468038463,14.3501231653816,0.0178579276506178,0.2954541146276337,16.5447033053363,0.1906752329777643,2.501145243259789,0.7503435729779366,0.128262099241082,0.8669420282285426,0.1535475146842766,0.1314237773176549,1.8699978500649967,2.0,0.0,6.0,0.2863347009947238,3.0,1,1,Titan,170.4592923795425,76.23794638803183,0.0,52.2544,118.20489237954249,7.482801300051056,8.076627093285468,0.104961675255467,4.232780451634062,0.3307764508132894,17.03775853202541,4.686656924005595,0.0,0.0145835644403307,0.0,Conventional,yes,yes,0.0,spring
1,1,5.0,1.418681194,3.39884072798398,0.0,8.142857143,2.16676547,0.35,0.0,169.42401519553673,330.4235796357817,LowAcc,4713231.998341061,14.935330945132272,0.0165367126019207,0.2710977340758408,16.393689640851118,0.0981114360363387,2.5060558259156407,0.7518167477746922,0.0822151386782353,0.4982979444271846,0.1512514892716237,0.0876687326143463,1.8738531733317303,2.0,0.0,3.0,0.2874718506441933,3.0,1,1,Titan,169.42401519553673,76.78533285638171,0.0,52.2544,117.16961519553672,7.613658308489917,8.262363853868486,0.1047665782407153,2.432902927281777,0.3327618717441926,16.934288514325043,4.6889567207645335,0.0,0.0145835644403307,0.0,Conventional,no,yes,0.0,summer
2,2,6.0,1.418681194,4.910965312237503,0.0,17.0,2.872684492,0.35,0.0,148.98429831392434,223.95859044531443,LowAcc,3455482.8447482544,10.949764382425323,0.0186203646820942,0.4435183267083858,23.81899249990961,1.068780850476156,2.291321433336648,0.6873964300009944,0.075315413034098,0.811067624960894,0.1492022734054081,0.0795737306530561,1.7052641162081357,2.0,0.0,6.0,0.2326086506045432,3.0,1,1,Titan,148.98429831392434,52.50637719609264,0.0,52.2544,90.9115396316179,8.641191897565601,5.760008007266434,0.0944283901262009,3.959977802555808,0.2420281957929846,14.89154770407642,4.801396873701481,0.0,0.0145835644403307,0.0,Conventional,yes,yes,2.0,spring
3,3,10.0,0.37155936,2.030403794195533,0.0,11.0952381,1.460846448,0.35,0.0,194.028041464505,462.1630354412152,LowAcc,5767967.667108807,18.27758659438236,0.0514294689108856,0.7915238832280873,15.39047359403224,2.544784580538895,2.74594222886622,0.7352998419904567,0.1691881289809163,0.1321882150133949,0.1584875598479882,0.1665961061594804,2.74594222886622,3.0,0.0,1.0,0.3426833549068608,3.0,1,1,Titan,194.028041464505,105.97223760726304,0.0,52.2544,141.773641464505,5.238494306458927,9.944422088372727,0.1110121962255273,0.6453992011304325,0.4343076209423942,19.397239834899416,0.0159450447721835,0.0,0.0145835644403307,0.0,Conventional,yes,no,0.0,spring
4,4,11.0,0.37155936,2.284627834843524,0.0,14.04761905,2.16676547,0.35,0.0,158.1780605279642,313.10086827318696,LowAcc,4672826.814094804,14.807294642478528,0.0586983839596172,0.9831777322770636,16.749655884111913,3.4100693426082915,2.4696264557975995,0.7408879367392799,0.178181942214537,0.2357324111043285,0.1593547836454039,0.1754044897587056,1.8452522906969293,2.0,0.0,6.0,0.2789255031871612,3.0,1,1,Titan,158.1780605279642,71.97217274110474,0.0,52.2544,105.9236605279642,3.997791639188685,7.899945372401425,0.0836748968119735,1.1509460944900989,0.3179470949306617,15.810538696029264,4.676060428567006,0.0,0.0145835644403307,0.0,Conventional,yes,yes,0.0,summer
5,5,14.0,0.37155936,2.5132666233410257,0.0,17.0,1.460846448,0.35,0.0,141.68831313722143,254.0558520611258,LowAcc,4481146.557764778,14.199896562998385,0.052956319619258,0.9576369444500792,18.083525277723904,3.1647229149629887,2.348376722225952,0.7045130166677855,0.1841182945207343,0.1608576239027929,0.1579297653403527,0.1809736004039581,1.7500585119369132,2.0,0.0,4.0,0.2483709421909916,3.0,1,1,Titan,141.68831313722143,58.82517554532809,0.0,52.2544,89.43391313722142,3.768730839069207,6.818154660039132,0.0734757092004588,0.7853754735403762,0.2670241303528076,14.162841018718863,4.718552196532157,0.0,0.0145835644403307,0.0,Conventional,no,yes,0.0,spring
6,6,21.0,1.418681194,4.910965312237503,0.0,17.0,2.519724981,0.35,0.0,149.77233601050068,223.9235445168897,LowAcc,3509180.2171108937,11.119921087506318,0.0185886034256147,0.4323234682883428,23.257447501010738,1.018469553691422,2.290412302323072,0.6871236906969216,0.1602866835311841,1.0332528145469329,0.1500345334202092,0.1597150526428142,1.7045503528536037,2.0,0.0,6.0,0.2323488361391763,3.0,1,1,Titan,149.77233601050068,52.40569212973588,0.0,52.2544,91.65217641023834,8.271999819541492,5.805287315249865,0.094769828520131,5.04478058809393,0.2416235826273858,14.970287305009276,4.803152277020065,0.0,0.0145835644403307,0.0,Conventional,no,yes,2.0,summer
7,7,23.0,0.37155936,2.5132666233410257,0.0,17.0,1.460846448,0.35,0.0,140.93480199125827,240.67028451221165,LowAcc,4160732.5533528975,13.184565852133552,0.0600370672677908,1.1049021186548114,18.403665750801544,3.441778635050648,2.3296151599353427,0.6988845479806027,0.3009547352078652,0.6214661726020965,0.1484081235405584,0.2955197935522099,1.735328714540458,2.0,0.0,4.0,0.2433005203016154,3.0,1,1,Titan,140.93480199125827,56.74735714954384,0.0,52.2544,88.68040199125826,3.25079042174573,6.474406172049463,0.0722672606313149,3.034262708565485,0.2588874791641365,14.087570974772616,4.740276260345358,0.0,0.0145835644403307,0.0,Conventional,yes,no,0.0,fall
8,8,29.0,1.156900736,3.582748822340919,0.0,11.0952381,2.519724981,0.35,0.0,148.21708801027034,234.2537630935147,LowAcc,4123248.47819022,13.065785985595292,0.0204466847638906,0.3800113156459706,18.585473392590277,0.6590811924970446,2.3560798576791027,0.7068239573037308,0.1782066630569015,0.7295217351385281,0.0885584464759019,0.1772577369197999,1.7561062825215172,2.0,0.0,1.0,0.2504230323373967,3.0,1,1,Titan,148.21708801027034,59.67828768502376,0.0,52.2544,95.96268801027034,6.176243603974457,6.647792010339929,0.0873174777733197,3.561836015547849,0.270342854261786,14.815258064416373,4.711026734492527,0.0,0.0145835644403307,0.0,Conventional,no,yes,0.0,spring
9,9,30.0,0.633339819,2.6508595002406112,0.0,11.0952381,1.460846448,0.35,0.0,156.60330808867968,302.8873352593439,LowAcc,4726432.226962138,14.977159945503262,0.0322314941691297,0.5581753237341681,17.31769929142066,1.4055479939986943,2.446043624498288,0.7338130873494864,0.2194267053734328,0.3306530076183122,0.1552446041858645,0.2159743730595583,1.8267372906296109,2.0,0.0,5.0,0.2732504682532403,3.0,1,1,Titan,156.60330808867968,69.37057162408227,0.0,52.2544,104.34890808867968,4.864923356980935,7.763368031239485,0.0864321634754629,1.614388899544554,0.3082463843825,15.653187072295433,4.673206992238722,0.0,0.0145835644403307,0.0,Conventional,no,yes,0.0,spring
