Case,drbatt,dtbatt,EQ_W_Wing,EQ_W_Therm,Foil0,Foil1,FOS,Fuse_d,Fuse_L,Fuse_Lt,Ht_S,NACA0,NACA1,Nz,Panels,PassN,PfracBattery,PfracRTG,PfracSpanels,Planet,PropBlade,PropD,PropN,PropulsionN,rho_b,rho_s,RTGfuelfrac,RTGfueltype,tstart,tmission,Type,Tail_type,Winglet,Ult_n,Ult_s,Vm,Vt_S,Wing_AR,Wing_dhl,Wing_S,Wing_Sweep,Wing_TR,Wing_fin_S,Wing_fin_TR,Cruise_Alt,Min_Alt,Cruise_V,RoC_min_alt,RoC_max_alt,Accel,Wing_folding,Sensor_swath_width,Num_Folds,Season,Area_coverage
1,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.042361211,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.008284368,5,1.438074866,0.354670298,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,spring,4.00E+05
2,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.008661281,5.19047619,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,winter,4.00E+05
3,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.106911627,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.031938364,8.142857143,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,spring,4.00E+05
4,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.031938364,5.19047619,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,summer,4.00E+05
5,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.008661281,8.142857143,2.16676547,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,summer,4.00E+05
6,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.008661281,17,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,spring,4.00E+05
7,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.008661281,5.19047619,2.16676547,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,summer,4.00E+05
8,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.026119093,8.142857143,1.813805959,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,spring,4.00E+05
9,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.25,bwb,V-tail,yes,724000000,54500000,30,0.031938364,17,1.813805959,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,summer,4.00E+05
10,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.031938364,11.0952381,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,spring,4.00E+05
11,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.25,bwb,V-tail,yes,724000000,54500000,30,0.008661281,14.04761905,2.16676547,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,summer,4.00E+05
12,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.008661281,5.19047619,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,spring,4.00E+05
13,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.026119093,14.04761905,2.519724981,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,winter,4.00E+05
