,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,S_Vtail,cgx,RTG_h,PropD,PropN,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels
0,1.0,0.1271223477171395,0.35654221028812216,0.0,1.0,1.4380748663101606,0.35,0.0,635.2594973288553,2273.158194481947,LowClb,75.0,171611.9013723176,171611.9013723176,0.5449108667074425,1.5,0.0,0.04589910585498216,0.03519446401300458,0.04602985433644534,4.873089633518338,0.7349601644709293,2.0,CL > CLmax,635.2594973288553,517.7907698031951,0.0,52.254400000000004,583.0050973288553,0.40999956987153285,0.0,0.005138552501177753,0.385882024258564,1.5445140225149434,63.51937774651317,-0.6651791991744251,0.0,0.014594809175303324,0.0
1,2.0,0.1694964636228527,0.6137253522959466,0.0,2.2222222222222223,1.5974759358288766,0.35,0.0,430.1685986601881,1457.9106189617441,LowClb,75.0,171611.9013723176,171611.9013723176,0.25722737595346223,1.5,0.0,0.05507337583067669,0.10258661811670348,0.05528437572356268,3.3284828420511183,0.5868825256142333,2.0,CL > CLmax,430.1685986601881,332.8661585036977,0.0,52.254400000000004,377.9141986601881,0.7090627922518373,0.0,0.004601188536624103,1.060254190924619,1.0826081084444539,43.009189239101104,-0.8322701719435314,0.0,0.014594809175303324,0.0
2,3.0,0.2118705795285659,0.8542695362696681,0.0,3.4444444444444446,1.7568770053475935,0.35,0.0,413.0393992633186,1384.7678559464703,LowClb,75.0,171611.9013723176,171611.9013723176,0.19480459272829442,1.5,0.0,0.059993934961938125,0.1858478187579644,0.06026372971652222,3.1898532748463864,0.5717199588413561,2.0,CL > CLmax,413.0393992633186,316.269042026176,0.0,52.254400000000004,360.78499926331864,1.1226046327273924,0.0,0.005035423739679849,1.8890590620497592,1.0391283558814282,41.2966265603377,-0.8510916067686435,0.0,0.014594809175303324,0.0
3,4.0,0.2542446954342791,1.0892544447281218,0.0,4.666666666666667,1.9162780748663095,0.35,0.0,454.495250282607,1543.0825907266676,LowClb,75.0,171611.9013723176,171611.9013723176,0.18183102585119013,1.5,0.0,0.057892804076972795,0.24928537797046074,0.05823552332718608,3.4898110742553707,0.6040487579390701,2.0,CL > CLmax,454.495250282607,352.18082214289325,0.0,52.254400000000004,402.24085028260697,1.7528285657322518,0.0,0.00594865232738536,2.524141191038336,1.132697911917048,45.44134669122904,-0.8115296817056769,0.0,0.014594809175303324,0.0
4,5.0,0.2966188113399923,1.32164867583466,0.0,5.888888888888889,2.0756791443850267,0.35,0.0,785.8792657029958,-142193.6532974535,CruiseClb,75.0,171611.9013723176,171611.9013723176,-19.988026921752784,1.5,0.0,0.07227588255318904,0.3959744487776981,0.07250381316763849,5.952698894469686,0.8227857961334506,2.0,CL > CLmax,785.8792657029958,647.0445863988882,0.0,52.254400000000004,733.6248657029957,2.7507781645282847,0.0,0.00990523213338144,3.9466595487340403,1.8499375175409432,78.57962595020602,-0.5712219182104175,0.0,0.014594809175303324,0.0
5,6.0,0.3389929272457055,1.5526159768355525,0.0,7.111111111111112,2.235080213903744,0.35,0.0,487.4243557575418,1633.8052511300639,LowClb,75.0,171611.9013723176,171611.9013723176,0.14427077073181854,1.5,0.0,0.07513016725848272,0.5132794682688842,0.07546240857187973,3.7073485835367608,0.6264516306353274,2.0,CL > CLmax,487.4243557575418,378.2250164123678,0.0,52.254400000000004,435.1699557575418,2.762193803618365,0.0,0.007175133598299488,5.013184642637277,1.1994423275476265,48.7335700891503,-0.7852214605531326,0.0,0.014594809175303324,0.0
6,7.0,0.3813670431514187,1.7827110514406113,0.0,8.333333333333334,2.39448128342246,0.35,0.0,306.5257819490112,935.7182014080998,LowClb,75.0,171611.9013723176,171611.9013723176,0.07084682275424997,1.0130336509212656,0.0,0.08103544138415407,0.6594242126151995,0.08149590653323412,2.339286797006563,0.4680581169921148,2.0,1,306.5257819490112,214.43686300959797,0.0,52.254400000000004,254.27138194901121,2.8340011952413118,0.0,0.005210775314458303,6.575680561170037,0.7613115337816386,30.643321071720926,-0.999601006990426,0.0,0.014594809175303324,0.0
7,8.0,0.4237411590571319,2.012233134243129,0.0,9.555555555555555,2.553882352941177,0.35,0.0,757.6815643505978,245409.7205192241,LowClb,75.0,171611.9013723176,171611.9013723176,20.790813854568704,1.5,0.0,0.05807284073733859,0.8008533115492462,0.058483745922714034,5.691721765658235,0.8024368985905621,2.0,CL > CLmax,757.6815643505978,615.7996803359845,0.0,52.254400000000004,705.4271643505978,4.537999762410261,0.0,0.011243462848019118,8.119356687508338,1.777108834871892,75.760179194924,-0.592998737124517,0.0,0.014594809175303324,0.0
8,9.0,0.4661152749628451,2.241358260603898,0.0,10.77777777777778,2.713283422459893,0.35,0.0,574.3221394800568,-218420.77767216027,CruiseClb,75.0,171611.9013723176,171611.9013723176,-19.52003238227679,1.5,0.0,0.20142804840578765,0.8085962517551115,0.20086707679917493,4.317603607167278,0.6854008004466131,2.0,CL > CLmax,574.3221394800568,451.286441275871,0.0,52.254400000000004,522.0677394800567,4.206885490443681,0.0,0.009375862855693091,8.46058922397995,1.3824498257506097,57.426340677407374,-0.7189376854267907,0.0,0.014594809175303324,0.0
9,10.0,0.5084893908685583,2.470196893047738,0.0,12.0,2.872684491978609,0.35,0.0,678.5907709561394,2364.7314229678286,LowClb,75.0,171611.9013723176,171611.9013723176,0.14118940516806092,1.5,0.0,0.12289024660784048,1.5273650000000003,0.1228927351802812,5.033227367643653,0.7486383535476643,2.0,CL > CLmax,678.5907709561394,536.9629037087936,0.0,52.254400000000004,626.3363709561394,4.760219659869461,0.0,0.011108008921086064,15.79548704505705,1.5905541334365914,67.85200731565924,-0.6505037247728903,0.0,0.014594809175303324,0.0
