,Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,S_Vtail,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
0,1.0,0.2983260527685158,1.125,420.5234932219895,1356.9848689103765,LowClb,75.0,111902.97196510962,111902.97196510962,0.5149946872022461,1.5,4.473452175597476,0.07976520975862733,0.01,0.08000454965640293,3.137213003619236,0.6466926006799243,CL > CLmax,420.5234932219895,309.9668026801129,0.0,52.254400000000004,368.2690932219895,1.1443523888517837,8.12997101392006,0.3504029979438135,0.20123199139869194,0.9885800825390185,42.04448175712761,5.428675500920392,0.0,0.014594809175303324
1,2.0,0.3622530640760549,1.3660714285714286,348.64120456172213,1075.699695644294,LowClb,75.0,111902.97196510962,111902.97196510962,0.33200846817783,1.5,3.887187508362548,0.08826382959232569,0.016375338909758414,0.08861500414439319,2.604245124314756,0.5744541565049883,CL > CLmax,348.64120456172213,246.15840920420598,0.0,52.254400000000004,296.38680456172216,1.5839973653401136,6.869571328675078,0.2612262146733103,0.2856832008759797,0.8245120063735969,34.85783461920235,5.530975813200453,0.0,0.014594809175303324
2,3.0,0.4261800753835941,1.6071428571428572,316.2372891961671,946.9927668419502,LowClb,75.0,111902.97196510962,111902.97196510962,0.24633701177042738,1.5,3.618957199010102,0.09732506894186642,0.024289956399863987,0.09776535710731675,2.360399388539805,0.5381799427398993,CL > CLmax,316.2372891961671,216.96452105459545,0.0,52.254400000000004,263.9828891961671,2.0921511914560353,6.302721407193712,0.2299404015416797,0.38517315810766795,0.7464396639036899,31.61815439813637,5.629193112057211,0.0,0.014594809175303324
3,4.0,0.4901070866911332,1.8482142857142856,299.01701865244513,876.8770428105943,LowClb,75.0,111902.97196510962,111902.97196510962,0.19717712212265476,1.5,3.472824952131894,0.10905500671174488,0.0348541552820363,0.10953139878235274,2.2275518913777974,0.517348534476738,CL > CLmax,299.01701865244513,201.05965004761293,0.0,52.254400000000004,246.7626186524451,2.664146710000496,5.997566680156621,0.21733869048943621,0.5105185202664886,0.7029324080866828,29.89228787074221,5.703582915914944,0.0,0.014594809175303324
4,5.0,0.5540340979986723,2.0892857142857144,299.2546867849278,874.6249274123984,LowClb,75.0,111902.97196510962,111902.97196510962,0.17388254514719265,1.5,3.468131147918498,0.10950247040412578,0.0394003494492586,0.11007807892140106,2.223284796638347,0.5166655024633761,CL > CLmax,299.2546867849278,200.5487816243804,0.0,52.254400000000004,247.00028678492782,3.3182376209035422,5.9906024751728575,0.22712498500673475,0.5771078924751636,0.701522419024776,29.916043342377375,5.706271616411668,0.0,0.014594809175303324
5,6.0,0.6179611093062114,2.330357142857143,246.3207492353499,667.5051107954744,LowClb,75.0,111902.97196510962,111902.97196510962,0.11613851562342785,1.1789873691216952,3.036365929172125,0.12423876861159357,0.06127943971608799,0.1247064643914266,1.8307709614143715,0.4494181077909551,1,246.3207492353499,153.55593606041663,0.0,52.254400000000004,194.0663492353499,3.1670437504644844,5.092175090942891,0.16502239537069244,0.8129659071450567,0.5679282167156585,24.624755890738644,6.0659271143805,0.0,0.014594809175303324
6,7.0,0.6818881206137506,2.5714285714285707,222.87635605077836,574.8232303254687,LowClb,75.0,111902.97196510962,111902.97196510962,0.08911344666328957,0.9667633404295932,2.8432189247491717,0.1329582101008942,0.080092498503214,0.13333310322015535,1.6551827755753232,0.4158296537068003,1,222.87635605077836,132.53403120123482,0.0,52.254400000000004,170.62195605077835,3.093498374801682,4.696000148143171,0.14282842400388504,1.0188735913877625,0.5051516912852279,22.28124796525789,6.335729845488598,0.0,0.014594809175303324
7,8.0,0.7458151319212897,2.8125,214.13228119088896,538.9995675124616,LowClb,75.0,111902.97196510962,111902.97196510962,0.0757546680727909,0.8492200762322403,2.7685994484381475,0.14158383050031745,0.09886641153908077,0.14184912654923743,1.5873468880198465,0.40210259829484724,1,214.13228119088896,124.41253050108776,0.0,52.254400000000004,161.87788119088896,3.187696276154341,4.54494929843029,0.13728031280773567,1.2244012846782686,0.4802721598533079,21.40718740991168,6.468969138790275,0.0,0.014594809175303324
8,9.0,0.8097421432288289,3.053571428571429,210.86310491183784,524.4115913228267,LowClb,75.0,111902.97196510962,111902.97196510962,0.06761345610667864,0.770234830657613,2.738215512284607,0.15020760076731102,0.11839468866212892,0.1503459838526552,1.5597251278802644,0.39637697531295185,1,210.86310491183784,121.1055767278442,0.0,52.254400000000004,158.60870491183783,3.349630913734045,4.484679026333368,0.13745255684398028,1.4372527094792409,0.47002956803178975,21.08039917029051,6.529089430105388,0.0,0.014594809175303324
9,10.0,0.873669154536368,3.294642857142857,210.32463859757556,520.4023568548116,LowClb,75.0,111902.97196510962,111902.97196510962,0.06209860210545575,0.7120532089938866,2.729857844485727,0.1588576002563837,0.1389085867485291,0.15885155118197436,1.5521272480631003,0.3947874740993399,1,210.32463859757556,120.19593747230611,0.0,52.254400000000004,158.07023859757555,3.5499398421105712,4.46947347711572,0.14043277365076845,1.6598035476364061,0.4672002469920916,21.026573436375777,6.546282992212793,0.0,0.014594809175303324
10,11.0,0.937596165843907,3.5357142857142856,211.71372438773705,523.8244945120791,LowClb,75.0,111902.97196510962,111902.97196510962,0.05827466531540283,0.6678862292018479,2.736994988822709,0.16755640929096544,0.16032228197601875,0.1673879660852747,1.5586155610967207,0.39614524801038004,1,211.71372438773705,120.97273631351278,0.0,52.254400000000004,159.45932438773704,3.7828345729070443,4.485949033236969,0.14550408852504704,1.8910803985599354,0.46961670881344436,21.16542630611891,6.531582156887575,0.0,0.014594809175303324
11,12.0,1.001523177151446,3.7767857142857144,213.97987586556874,530.5819003945893,LowClb,75.0,111902.97196510962,111902.97196510962,0.055332879068277406,0.6319478297052249,2.7510768552169047,0.17630341956203713,0.18286925035981966,0.17595464929588106,1.5714172578187169,0.39881063158458463,1,213.97987586556874,122.50539096929118,0.0,52.254400000000004,161.72547586556874,4.034273180722984,4.5166759201982964,0.15157395138088264,2.133450134596335,0.4743734103037194,21.391950882671463,6.503192607228556,0.0,0.014594809175303324
12,13.0,1.065450188458985,4.0178571428571415,217.2608733801861,541.1930865865806,LowClb,75.0,111902.97196510962,111902.97196510962,0.05317197607747851,0.6031393589965574,2.7731956282827874,0.18511354980526507,0.20629023551154976,0.18456605310793164,1.5915252333331553,0.4029616296329134,1,217.2608733801861,124.91277359674629,0.0,52.254400000000004,165.0064733801861,4.310004613407197,4.563915768739933,0.15893599764609834,2.384324772088638,0.4818157515726101,21.719919689059424,6.46018838175059,0.0,0.014594809175303324
13,14.0,1.1293771997665245,4.258928571428571,220.95169966070043,553.3037681932209,LowClb,75.0,111902.97196510962,111902.97196510962,0.051412210577261724,0.5786655532447185,2.798438039520035,0.19398268214627362,0.23079628970872043,0.19321819928247094,1.6144728799124712,0.4076471953509674,1,220.95169966070043,127.66012952406761,0.0,52.254400000000004,168.69729966070042,4.599668543621905,4.617660085119231,0.1669195442929335,2.6458471482796337,0.4902666860030897,22.088855050307544,6.413358269833135,0.0,0.014594809175303324
