,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,0.2983260527685158,1.2213231611013438,0.0,5.0,1.4380748663101606,0.35,0.0,208.21336890073704,603.0110485312803,LowAcc,75.0,111902.97196510962,111902.97196510962,0.24615278950772573,1.5,1.6107999380073015,1.2668102612720347,0.08089906006439013,0.043214369394490026,0.08131158823483987,1.6107999380073015,0.3660790229657928,4.0,CL > CLmax,1,Titan,208.21336890073704,134.07054565788235,0.0,52.254400000000004,155.95896890073703,1.1938593676186178,0.0,0.0033236205634308846,0.5228907234039477,0.5220298721049703,20.815809303145627,-1.1840844531572259,0.0,0.014594809175303324,0.0,0.27
1,2.0,0.3125320552813023,1.2736523040838847,0.0,5.190476190476191,1.4608464476699772,0.35,0.0,213.24688157997406,600.647976693903,LowAcc,75.0,111902.97196510962,111902.97196510962,0.2339658315145691,1.5,1.641293650647485,1.290114438801663,0.08292248128319354,0.04606206487335189,0.0833591221756784,1.641293650647485,0.3722855301459808,4.0,CL > CLmax,1,Titan,213.24688157997406,138.400103651895,0.0,52.254400000000004,160.99248157997405,1.3257381772688017,0.0,0.00344087973793093,0.5595318869204055,0.535597926794601,21.318969617667538,-1.1654953694855044,0.0,0.014594809175303324,0.0,0.27
2,3.0,0.3267380577940887,1.3259569864949838,0.0,5.380952380952381,1.4836180290297938,0.35,0.0,213.1765349734142,599.807504234475,LowAcc,75.0,111902.97196510962,111902.97196510962,0.22346115270316963,1.5,1.6399500191762049,1.2890875967535798,0.0848996771576385,0.048913247461086475,0.08535684983683094,1.6399500191762049,0.37201423621220214,4.0,CL > CLmax,1,Titan,213.1765349734142,138.20933218217823,0.0,52.254400000000004,160.9221349734142,1.421781096888386,0.0,0.003491720048159217,0.5922883344952552,0.5350021060724628,21.311937613446688,-1.1662928888903132,0.0,0.014594809175303324,0.0,0.27
3,4.0,0.3409440603068753,1.3782399931987865,0.0,5.571428571428571,1.5063896103896104,0.35,0.0,213.20281676527938,599.3329412460932,LowAcc,75.0,111902.97196510962,111902.97196510962,0.21397023669784618,1.5,1.6391915685427478,1.2885079668338615,0.0868644095177419,0.05179555581081634,0.08734121322422128,1.6391915685427478,0.3718610093141442,4.0,CL > CLmax,1,Titan,213.20281676527938,138.1016458521503,0.0,52.254400000000004,160.94841676527938,1.5207947594973434,0.0,0.00354252840183702,0.6253522586870144,0.5346656970841088,21.314564783864327,-1.1667439235808272,0.0,0.014594809175303324,0.0,0.27
4,5.0,0.3551500628196617,1.4305037008520405,0.0,5.761904761904762,1.5291611917494272,0.35,0.0,213.3998883926017,599.5717756490283,LowAcc,75.0,111902.97196510962,111902.97196510962,0.20549764616612487,1.5,1.639482464138596,1.2887302776652194,0.08881676599305802,0.05470922458648725,0.08931207791487572,1.639482464138596,0.3719197853083409,4.0,CL > CLmax,1,Titan,213.3998883926017,138.14294778764398,0.0,52.254400000000004,161.1454883926017,1.6231411301944005,0.0,0.003594439680134387,0.6587218977235588,0.5347947300720141,21.334264459330246,-1.1665708612179457,0.0,0.014594809175303324,0.0,0.27
5,6.0,0.3693560653324482,1.4827501502044231,0.0,5.9523809523809526,1.5519327731092438,0.35,0.0,213.69839030550665,600.0818002449201,LowAcc,75.0,111902.97196510962,111902.97196510962,0.1977713542849755,1.5,1.6403887076694694,1.289422855193504,0.09075865299707024,0.057652968430341754,0.09127131141304695,1.6403887076694694,0.3721028339786835,4.0,CL > CLmax,1,Titan,213.69839030550665,138.27161804731074,0.0,52.254400000000004,161.44399030550665,1.7284783412652869,0.0,0.0036466711546668524,0.6923847532081416,0.5351966585599705,21.364103315911084,-1.1660322910785423,0.0,0.014594809175303324,0.0,0.27
6,7.0,0.3835620678452346,1.5349811035293415,0.0,6.142857142857142,1.5747043544690604,0.35,0.0,214.11461094350432,601.141730835547,LowAcc,75.0,111902.97196510962,111902.97196510962,0.190802320129591,1.5,1.642013456079718,1.2906645349404142,0.0926929172890811,0.0606242778622582,0.09322162948324389,1.642013456079718,0.3724307854665534,4.0,CL > CLmax,1,Titan,214.11461094350432,138.50230305936074,0.0,52.254400000000004,161.8602109435043,1.8367394396025458,0.0,0.003699564260355243,0.7263163663469648,0.5359170421941591,21.4057095796336,-1.1650689170693713,0.0,0.014594809175303324,0.0,0.27
7,8.0,0.3977680703580211,1.5871980906409047,0.0,6.333333333333333,1.5974759358288766,0.35,0.0,214.61523514742964,602.4582497849563,LowAcc,75.0,111902.97196510962,111902.97196510962,0.18441419035755732,1.5,1.6441453011411058,1.2922937526208738,0.09461768723514422,0.06362379639714981,0.09516120830908792,1.6441453011411058,0.37286065562940857,4.0,CL > CLmax,1,Titan,214.61523514742964,138.80498666291007,0.0,52.254400000000004,162.36083514742964,1.9481721124546263,0.0,0.00375276876808753,0.7605230609832447,0.5368618565180441,21.4557529983376,-1.1638091217173332,0.0,0.014594809175303324,0.0,0.27
8,9.0,0.4119740728708076,1.6394024460629468,0.0,6.523809523809524,1.6202475171886932,0.35,0.0,213.8541755450712,603.9867274023551,LowAcc,75.0,111902.97196510962,111902.97196510962,0.17853707877606736,1.5,1.6384122963654815,1.2879124244878968,0.09653970604213642,0.06664568274373221,0.0970963343725896,1.6384122963654815,0.37170351012934993,4.0,CL > CLmax,1,Titan,213.8541755450712,137.99100323790375,0.0,52.254400000000004,161.5997755450712,2.048654439614908,0.0,0.003787319032495221,0.794947832808841,0.5343199916351649,21.379675897854135,-1.1672079829533832,0.0,0.014594809175303324,0.0,0.27
9,10.0,0.4261800753835941,1.6915953392762924,0.0,6.714285714285714,1.6430190985485102,0.35,0.0,204.5999636681048,569.3614076972453,LowAcc,75.0,111902.97196510962,111902.97196510962,0.16211100427654931,1.419978307846959,1.5799920735305,1.2432659998189368,0.0984598158998567,0.06969285314485886,0.09902348501350441,1.5799920735305,0.3596998397252451,4.0,Power Unconverged,1,Titan,204.5999636681048,129.6963837610386,0.0,52.254400000000004,152.3455636681048,2.0468238946718014,0.0,0.0036977590137232757,0.8296191893183062,0.5082215484720604,20.450195043523973,-1.203972337108939,0.0,0.014594809175303324,0.0,0.27
