,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,153.99528882058164,308.9329755107315,LowAcc,45.0,119068.04349397456,119068.04349397456,0.10619547233091112,1.5,14.124895977918106,2.464268905903572,0.7392806717710715,0.03998443733548387,0.0189316975992143,0.06999983739254265,0.04091824065110014,1.8410460511920284,2.0,0.0,0.27764643110354076,3.0,Winglet too big,Tail span too big,Titan,153.99528882058164,72.12731237863514,0.0,52.254400000000004,101.74088882058163,1.4394355374698156,7.620667401004369,0.06310041368779466,0.09243261591313347,0.3157511339210944,15.392592724260277,4.675013051249664,0.0,0.014583564440330758,0.0,0.27
1,2.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,153.9948385674804,308.93283818357673,LowAcc,45.0,119068.04349397456,119068.04349397456,0.10619547233091112,1.5,14.124895977918106,2.464265524866407,0.7392796574599221,0.039984473287503576,0.0189316975992143,0.07000006014248422,0.04091827899733791,1.8410433967226583,2.0,0.0,0.27764562204753634,3.0,Winglet too big,Tail span too big,Titan,153.9948385674804,72.12693549179238,0.0,52.254400000000004,101.7404385674804,1.4394355374698156,7.620641281849015,0.06310013316048325,0.09243261591313347,0.3157497466598321,15.392547733558047,4.675012462637342,0.0,0.014583564440330758,0.0,0.27
2,3.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,171.86635242213674,399.2943409561417,LowAcc,45.0,119068.04349397456,119068.04349397456,0.14392246231155778,1.5,10.422278606885268,2.6516744587644983,0.7112857894796473,0.0486541408508658,0.0189316975992143,0.06999990586252017,0.04935641084640725,2.6516744587644983,3.0,0.0,0.31855501094777594,3.0,CL > CLmax,1,Titan,171.86635242213674,92.58791204357874,0.0,52.254400000000004,119.61195242213672,1.2818921689902723,7.973901843849359,0.07710148454467211,0.09243261591313347,0.38870074826195217,17.17838364579981,0.017044306758454718,0.0,0.014583564440330758,0.0,0.27
3,4.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,171.86635242213674,399.2943409561417,LowAcc,45.0,119068.04349397456,119068.04349397456,0.14392246231155778,1.5,10.422278606885268,2.6516744587644983,0.7112857894796473,0.0486541438412465,0.0189316975992143,0.07000014724067356,0.04935641381448373,2.6516744587644983,3.0,0.0,0.31855501094777594,3.0,CL > CLmax,1,Titan,171.86635242213674,92.58791204357874,0.0,52.254400000000004,119.61195242213672,1.2818921689902723,7.973901843849359,0.07710148454467211,0.09243261591313347,0.38870074826195217,17.17838364579981,0.017044306758454718,0.0,0.014583564440330758,0.0,0.27
4,5.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,171.63246392444842,398.5089340615408,LowAcc,45.0,119068.04349397456,119068.04349397456,0.1436084390477712,1.5,10.445068618154302,2.650379755674021,0.7109559729584006,0.05670567814755125,0.0189316975992143,0.07000014707159113,0.05734081166684851,2.650379755674021,3.0,0.0,0.318210888730895,3.0,CL > CLmax,1,Titan,171.63246392444842,92.4040875227213,0.0,52.254400000000004,119.37806392444843,1.265908352343729,7.9639537640879885,0.07695980286897647,0.09243261591313347,0.3880639873788863,17.155012438766374,0.017061875927710246,0.0,0.014583564440330758,0.0,0.27
5,6.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,171.63240366203036,398.5089280527751,LowAcc,45.0,119068.04349397456,119068.04349397456,0.1436084390477712,1.5,10.445068618154302,2.650379394387953,0.7109558809233117,0.05670568379993952,0.0189316975992143,0.07000014707159113,0.0573408175005503,2.650379394387953,3.0,0.0,0.3182107926518731,3.0,CL > CLmax,1,Titan,171.63240366203036,92.4040362266065,0.0,52.254400000000004,119.37800366203037,1.265908352343729,7.963951030006566,0.07695976514388411,0.09243261591313347,0.3880638096491802,17.155006417085936,0.01706188084109301,0.0,0.014583564440330758,0.0,0.27
6,7.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,172.1953374390357,400.529542792086,LowAcc,45.0,119068.04349397456,119068.04349397456,0.14441791983190563,1.5,10.386522681852197,2.6536925970057132,0.7117998960257798,0.05097877134136615,0.0189316975992143,0.07000014176343623,0.051658743487159514,2.6536925970057132,3.0,0.0,0.31909067661304574,3.0,CL > CLmax,1,Titan,172.1953374390357,92.87445132655739,0.0,52.254400000000004,119.94093743903571,1.2750648199891466,7.989128322348511,0.077309788292103,0.09243261591313347,0.38969271049722315,17.211257218082924,0.01701707291494854,0.0,0.014583564440330758,0.0,0.27
7,8.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,172.195398042543,400.5295488348617,LowAcc,45.0,119068.04349397456,119068.04349397456,0.14441791983190563,1.5,10.386522681852197,2.653692960308201,0.7117999885745374,0.050978768605887785,0.0189316975992143,0.07000014176343623,0.05165874053262312,2.653692960308201,3.0,0.0,0.3190907729618925,3.0,CL > CLmax,1,Titan,172.195398042543,92.87450290896747,0.0,52.254400000000004,119.94099804254299,1.2750648199891466,7.989131076044231,0.07730982631031691,0.09243261591313347,0.38969288900342036,17.211263273845976,0.017017068028977102,0.0,0.014583564440330758,0.0,0.27
8,9.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,171.87564190228593,399.4075426473503,LowAcc,45.0,119068.04349397456,119068.04349397456,0.14396872625698323,1.5,10.418929436956397,2.6518371865612327,0.7113272432432352,0.05576034249775742,0.0189316975992143,0.0700012450790863,0.0564015724341865,2.6518371865612327,3.0,0.0,0.31859823646201035,3.0,CL > CLmax,1,Titan,171.87564190228593,92.61101645993872,0.0,52.254400000000004,119.62124190228593,1.2659749564214442,7.974987526633789,0.07711208539886202,0.09243261591313347,0.38878075978729126,17.179311829795868,0.017042103956480585,0.0,0.014583564440330758,0.0,0.27
9,10.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,171.8756113932846,399.40753960529776,LowAcc,45.0,119068.04349397456,119068.04349397456,0.14396872625698323,1.5,10.418929436956397,2.651837003660516,0.7113271966505617,0.055760025669875604,0.0189316975992143,0.06999890223890988,0.05640125805370111,2.651837003660516,3.0,0.0,0.31859818788123934,3.0,CL > CLmax,1,Titan,171.8756113932846,92.61099049133102,0.0,52.254400000000004,119.6212113932846,1.2659749562792837,7.9749861415420655,0.07711206628234338,0.09243261591313347,0.3887806698596181,17.179308781205123,0.017042106431679947,0.0,0.014583564440330758,0.0,0.27
