,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type
0,1.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,121.88418166564904,87.27890716554239,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007984552396965645,0.1739,21.779555240452414,2.2107898351934123,0.6632369505580237,0.05552345769305905,0.0189316975992143,0.06999986449384528,0.05613835035514107,0.821019175704175,1.0,0.0,0.13136823847261062,3.0,1,1,Titan,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,0.27,V-tail
1,2.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,121.88418166564904,87.27890716554239,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007984552396965645,0.1739,21.779555240452414,2.2107898351934123,0.6632369505580237,0.05552350008547309,0.0189316975992143,0.07000010222394126,0.05613839244948873,0.821019175704175,1.0,0.0,0.13136823847261062,3.0,1,1,Titan,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,0.27,V-tail
2,3.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,127.10940997435242,96.14824737867966,LowAcc,45.0,119068.04349397456,119068.04349397456,0.011357285678310451,0.12995,11.441994476565092,2.2842471778984237,0.685274153369527,0.24610217959932007,0.3402597530861402,-0.5624059634800248,0.24570377762817375,0.8498550412511596,1.0,0.0,0.14878848389633856,3.0,Winglet too big,Tail span too big,Titan,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,127.10940997435242,0.27,H-tail
3,4.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,124.7108842172721,100.94375186559581,LowAcc,45.0,119068.04349397456,119068.04349397456,0.013919433553302595,0.04354,3.1280008509878967,2.1916375617513433,0.657491268525403,0.35509410012875653,0.6888276975992145,1.3110021420464688,0.35361829276529444,0.8135009023558943,1.0,0.0,0.12643245203131745,3.0,Power Unconverged,Tail span too big,Titan,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,124.7108842172721,0.27,H-tail
4,5.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,122.29505929438972,86.59973982358,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0076116214915567,0.17509,23.00298302986047,2.21817927718452,0.665453783155356,0.046889918575830816,0.08978669759921434,-1.0741106249866672,0.04733591451599928,0.8239199198350715,1.0,0.0,0.13322371351517023,3.0,Winglet too big,1,Titan,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,122.29505929438972,0.27,Conventional
5,6.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,122.20217816153979,86.71087683687745,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007676272901791278,0.17509,22.809246393408223,2.2084821227465716,0.6625446368239715,0.04678577748022458,0.09410281636015236,0.06999998060673762,0.04746949648656537,0.8201132773502766,1.0,0.0,0.13078338206953755,3.0,1,1,Titan,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,122.20217816153979,0.27,Conventional
6,7.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,478.2211381549246,202.14120745995496,LowAcc,45.0,119068.04349397456,119068.04349397456,0.010849179262691903,0.19691,18.14976001706719,2.678048472435197,0.8034145417305592,0.04071865372259896,59.271433410691856,0.07000006014248422,0.04091828643547084,1.0044427347795333,1.0,0.0,0.21977624391349068,3.0,1,Tail span too big,Titan,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,478.2211381549246,0.27,No_tail
7,8.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,124.60638829400622,94.28874097060762,LowAcc,45.0,119068.04349397456,119068.04349397456,0.010849179262691903,0.19691,18.14976001706719,2.2392536127728246,0.6717760838318474,0.04014773506980208,0.23944208338772954,0.07000006014248422,0.04091829081789802,0.8321927035369919,1.0,0.0,0.1383788495583197,3.0,1,Tail span too big,Titan,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,124.60638829400622,0.27,No_tail
8,9.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,122.23897041978603,87.0038784344892,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007806896168691855,0.17872,22.892580628486417,2.2096720302365758,0.6629016090709727,0.0519151659185899,0.09280664692276043,0.069999988006184,0.052554900897207754,0.8205803785430451,1.0,0.0,0.1310852728040638,3.0,1,1,Titan,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,122.23897041978603,0.27,T-tail
9,10.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,122.26024363010201,87.06664027864464,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007832982589338233,0.17875,22.82017072823618,2.2099268828786953,0.6629780648636086,0.05196073174397722,0.09455215512139693,0.07000000239856642,0.05259996959061207,0.8206804215918655,1.0,0.0,0.1311498409624372,3.0,1,1,Titan,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,122.26024363010201,0.27,T-tail
10,11.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,121.88763445919976,87.30153222521932,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007994552396965645,0.17412,21.77983098416964,2.21088171823136,0.6632645154694079,0.056455558997827344,0.0189316975992143,0.06999979827489436,0.05706336498992788,0.8210552446229613,1.0,0.0,0.13139147101167892,3.0,1,1,Titan,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,0.27,Boom-mounted_inverted_V
11,12.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,121.88763445919976,87.30153222521932,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007994552396965645,0.17412,21.77983098416964,2.21088171823136,0.6632645154694079,0.056455594264219956,0.0189316975992143,0.07000003559854805,0.05706340000857775,0.8210552446229613,1.0,0.0,0.13139147101167892,3.0,1,1,Titan,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,0.27,Boom-mounted_inverted_V
12,13.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,121.88763445919976,87.30153222521932,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007994552396965645,0.17412,21.77983098416964,2.21088171823136,0.6632645154694079,0.05645557075329159,0.0189316975992143,0.07000003559854805,0.05706337666281121,0.8210552446229613,1.0,0.0,0.13139147101167892,3.0,1,1,Titan,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,0.27,Inverted_V
13,14.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,121.88763445919976,87.30153222521932,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007994552396965645,0.17412,21.77983098416964,2.21088171823136,0.6632645154694079,0.0564556060196842,0.0189316975992143,0.07000003559854805,0.057063411681461076,0.8210552446229613,1.0,0.0,0.13139147101167892,3.0,1,1,Titan,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,121.88763445919976,0.27,Inverted_V
