,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
0,1.0,0.3546702984905231,1.3316724418762353,30.0,5.0,1.4380748663101606,0.35,0.0,553.9954628687125,1675.687667464044,LowAcc,9697995.549258959,30.731093458497977,0.04575982955172431,0.3770296989979374,8.239316070261243,1.2307297419806353,10.024044154621212,0.7322143937948284,0.12369653030104287,0.0623612108058032,0.0423612108058032,0.02,0.16894114172794608,0.1297226933269075,10.024044154621212,11.0,0.0,4.0,0.6684129262077976,3.0,Fuselage greater than aeroshell diameter,1,Titan,553.9954628687125,382.25935386955587,0.0,52.254400000000004,501.74106286871245,7.604912250066746,53.33185961211468,1.606008986655211,0.3044740080007394,1.223938440761827,55.392192149749945,0.0037399873671575615,0.0,0.014583564440330758,0.0,0.0,No_tail,no,yes,0.0,fall
1,2.0,0.4365172904498746,1.6079569302651482,30.0,5.923076923076923,1.5484294529000413,0.35,0.0,420.11652820207917,1229.5958769585695,LowAcc,8803892.566729035,27.89785207597864,0.03584723661173295,0.32316554501602945,9.015075513805604,0.8843845042816774,7.311776944602237,0.7342742786944149,0.15553556474037908,0.07213687483791163,0.05213687483791163,0.02,0.1744645568520692,0.1622856762500815,7.311776944602237,8.0,0.0,4.0,0.5710977322394043,3.0,Fuselage greater than aeroshell diameter,1,Titan,420.11652820207917,281.06836244143074,0.0,52.254400000000004,367.86212820207913,6.727274244527185,35.88648526779181,0.8502021368765054,0.35220296595817124,0.9552672369063069,42.00242269945463,0.005327644693395704,0.0,0.014583564440330758,0.0,0.0,No_tail,no,yes,0.0,fall
2,3.0,0.518364282409226,1.8838263257860852,30.0,6.846153846153847,1.6587840394899223,0.35,0.0,409.08293562774566,1189.2228640033018,LowAcc,8527066.964988349,27.02064467826561,0.03187867487909326,0.30512520518779856,9.571451961069638,0.7515291424110555,7.247274596724124,0.7281124586179029,0.18225683555942498,0.08191253887002004,0.06191253887002004,0.02,0.2081386818651551,0.19059807747412938,7.247274596724124,8.0,0.0,4.0,0.561458597819898,3.0,Fuselage greater than aeroshell diameter,1,Titan,409.08293562774566,271.91019074933376,0.0,52.254400000000004,356.8285356277456,7.263670398620956,34.53452369979802,0.870717823411545,0.39993192391560295,0.9301397776064488,40.899361697828084,0.005415992790923645,0.0,0.014583564440330758,0.0,0.0,No_tail,no,yes,0.0,fall
3,4.0,0.6002112743685776,2.1594397192011554,30.0,7.769230769230769,1.7691386260798023,0.35,0.0,365.4127101435972,1037.2619833373114,LowAcc,8109095.652962773,25.696173514344476,0.027641012157536872,0.2776455836046534,10.044696700042795,0.49239848299522326,6.337971376119298,0.7277419281127746,0.21210609597721186,0.0916882029021285,0.07168820290212849,0.02,0.20965758228191012,0.22169277947853588,6.337971376119298,7.0,0.0,4.0,0.5235890897772815,3.0,Fuselage greater than aeroshell diameter,1,Titan,365.4127101435972,237.43954479671814,0.0,52.254400000000004,313.15831014359725,8.17935145704205,29.022131026150223,0.6811231085045086,0.4476608818730348,0.8340439001028412,36.533578039862505,0.006293368903645771,0.0,0.014583564440330758,0.0,0.0,No_tail,no,yes,0.0,fall
4,5.0,0.6820582663279291,2.4348840454946323,30.0,8.692307692307693,1.8794932126696835,0.35,0.0,347.8321073909408,969.589471754669,LowAcc,7866092.023944245,24.926141480797792,0.024773183113337614,0.2552562651231103,10.303733030806326,0.2838352854957255,6.229853711264173,0.7159381212774673,0.24082960340204188,0.10146386693423692,0.08146386693423692,0.02,0.2117923648836127,0.2518167661911124,6.229853711264173,7.0,0.0,4.0,0.5058130957200057,3.0,Fuselage greater than aeroshell diameter,1,Titan,347.8321073909408,222.08878361880133,0.0,52.254400000000004,295.57770739094076,9.377166461975277,27.362161590997356,0.6667462255110291,0.49538983983046675,0.790387944658497,34.77597593549681,0.006512209229656429,0.0,0.014583564440330758,0.0,0.0,No_tail,no,yes,0.0,fall
5,6.0,0.7639052582872806,2.71021085307895,30.0,9.615384615384617,1.989847799259564,0.35,0.0,349.3585573146893,969.1176896264417,LowAcc,7777259.593086129,24.64464849382123,0.022882469508747436,0.23509436892005953,10.273994632886474,0.11200843376666333,6.22909996382919,0.715855830477559,0.26873981676103054,0.1112395309663454,0.09123953096634539,0.02,0.21297656792777767,0.2812647593668761,6.22909996382919,7.0,0.0,4.0,0.5056869762159028,3.0,Fuselage greater than aeroshell diameter,1,Titan,349.3585573146893,221.98176505825055,0.0,52.254400000000004,297.10415731468925,10.916335343910973,27.22708602142965,0.6960844310599849,0.5431187977878987,0.7900815416257694,34.92858870299926,0.006513853184818505,0.0,0.014583564440330758,0.0,0.0,No_tail,no,yes,0.0,fall
6,7.0,0.845752250246632,2.9854526558449104,30.0,10.538461538461538,2.100202385849445,0.35,0.0,367.0239969205386,1030.823160072548,LowAcc,7817778.153892055,24.773044065112856,0.021804603595071644,0.2147627809372513,9.849423769657191,0.24917132578091347,6.3276843257421165,0.7266188336053225,0.2971400902883134,0.16340290998616874,0.10101519499845374,0.02,0.208528052512678,0.31045420954958847,6.3276843257421165,7.0,0.0,4.0,0.521923823103535,3.0,Fuselage greater than aeroshell diameter,1,Titan,367.0239969205386,235.9789689160152,0.0,52.254400000000004,314.7695969205386,11.44387952468971,28.4415266406724,0.7688807561992692,0.5908477557453301,0.8299146474494382,36.69468228933427,0.006312825992648291,0.0,0.014583564440330758,0.0,0.0,No_tail,no,yes,0.0,fall
7,8.0,0.9275992422059834,3.260630980567689,30.0,11.461538461538462,2.2105569724393255,0.35,0.0,411.34176255191494,1170.9460905635651,LowAcc,8012993.043411118,25.39164272128146,0.021167610703581557,0.19949503180744346,9.4245417964763,0.14470664632875813,7.218074526870396,0.72532301633279,0.32604026267599984,0.1797858724559554,0.11079085903056221,0.06430507438353374,0.21555959997963464,0.34062849276766505,7.218074526870396,8.0,0.0,4.0,0.5570401399610095,3.0,Fuselage greater than aeroshell diameter,1,Titan,411.34176255191494,267.76430673210376,0.0,52.254400000000004,359.0873625519149,14.069701203856681,33.269139130084824,1.0653501841023874,0.854892968599309,0.9187119351442455,41.125218604542624,0.005458229040753686,0.0,0.014583564440330758,0.0,0.0,No_tail,no,yes,0.0,fall
8,9.0,1.009446234165335,3.535760648232014,30.0,12.384615384615385,2.3209115590292058,0.35,0.0,422.6497054761429,1200.05249303863,LowAcc,8082291.136709432,25.611235127859633,0.019609616633030926,0.17132298607699342,8.736682072020354,-0.12856497453506754,7.264576661848708,0.7297653009679399,0.355704470934367,0.19541257071887375,0.12056652306267064,0.07219316476157489,0.16385790438797343,0.3726501267363818,7.264576661848708,8.0,0.0,4.0,0.5640603591434509,3.0,Fuselage greater than aeroshell diameter,1,Titan,422.6497054761429,274.36677238165197,0.0,52.254400000000004,370.39530547614294,16.725601935138535,34.01615151305141,1.1330531322017137,0.9411349454965646,0.9368955009781433,42.25572086171301,0.005391641471264726,0.0,0.014583564440330758,0.0,0.0,No_tail,no,yes,0.0,fall
9,10.0,1.0912932261246866,3.8108521974403855,30.0,13.307692307692308,2.4312661456190865,0.35,0.0,270.47465896968276,692.3074597635341,LowAcc,6751488.738494815,21.394176802085127,0.01765294092329936,0.14856781478905434,8.416037612915028,-0.742701696171222,4.453808531986417,0.7165362105010719,0.3808801839715638,0.2052173980906798,0.13034218709477915,0.08133250311332504,0.06496179036386211,0.3955536601413873,4.453808531986417,5.0,0.0,4.0,0.4252879398236597,3.0,Fuselage greater than aeroshell diameter,1,Titan,270.47465896968276,159.19042436683054,0.0,52.254400000000004,218.22025896968276,12.330003627758408,17.615111182828024,0.3844416276986686,1.033486048253233,0.6044291110846653,27.038328410213012,0.009451030575891252,0.0,0.014583564440330758,0.0,0.0,No_tail,no,yes,0.0,fall
