,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,1.0,1.3320519572062668,2.5807479121431705,0.0,5.0,1.4380748663101606,0.35,0.0,156.05109982101126,713.0486726941037,LowAcc,45.0,119068.04349397456,119068.04349397456,0.05736291751071633,0.30266,5.276230936884585,2.6906723971009265,0.8072017191302779,0.03508048312549293,0.0376351364361565,0.1281825045910025,0.03546213716828842,1.0093982883148425,1.0,0.0,0.21582322840169463,3.0,Tail sizing failure,1,Titan,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,156.05109982101126,0.27,Inverted_V,yes,yes,0.0
1,2.0,4.0514538689729775,4.847518173255596,0.0,5.8,1.53371550802139,0.35,0.0,231.1840918363658,1534.7623979955424,LowAcc,45.0,119068.04349397456,119068.04349397456,0.042191956406399736,0.14742,3.4940309138553984,3.653353262166226,0.7337899084591833,0.05347181108510487,0.040033071597100886,0.2444590068495164,0.05349871108959634,3.653353262166226,4.0,0.0,0.3977459689865702,3.0,Tail sizing failure,1,Titan,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,231.1840918363658,0.27,Inverted_V,yes,yes,2.0
2,3.0,1.9626275350537217,3.599075121660364,0.0,6.6,1.6293561497326203,0.35,0.0,265.99828100716377,734.5271578163002,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03946014833697268,0.26113,6.617562553745673,4.521261254777399,0.7268460749988859,0.038166927221936896,0.0525800245670022,0.1230363267616886,0.03864483342701706,4.521261254777399,5.0,0.0,0.4385043193777238,3.0,Fuselage greater than aeroshell diameter,1,Titan,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,265.99828100716377,0.27,Inverted_V,yes,yes,0.0
3,4.0,3.0831988155548795,4.776575262162851,0.0,7.4,1.7249967914438509,0.35,0.0,353.36427732701276,944.6546109084527,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03315788023938337,0.17976,5.421335703676544,5.523494881484607,0.7393261087359966,0.06438176889679519,0.0600507733566543,0.17886565779889071,0.06469106844964698,5.523494881484607,6.0,0.0,0.4991036980718925,3.0,Fuselage greater than aeroshell diameter,1,Titan,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,353.36427732701276,0.27,Inverted_V,yes,yes,2.0
4,5.0,2.900239121073894,4.876675178111203,0.0,8.2,1.8206374331550803,0.35,0.0,215.25825738842076,817.4715819691913,LowAcc,45.0,119068.04349397456,119068.04349397456,0.029943268724647948,0.19175,6.4037764802264245,3.555008192585262,0.715000371516588,0.0503534435701225,0.0675208544167073,0.10785904911436064,0.05100210836303468,3.555008192585262,4.0,0.0,0.3762408753328858,3.0,Tail sizing failure,1,Titan,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,215.25825738842076,0.27,Inverted_V,yes,yes,2.0
5,6.0,2.7402143751798627,4.966077866548083,0.0,9.0,1.91627807486631,0.35,0.0,288.15873360237015,737.562304406711,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02812144289308393,0.20631,7.336394536524263,4.526110387079035,0.7275872444416192,0.0646801339205505,0.0749904535441688,0.14778034559525072,0.06525189412552729,4.526110387079035,5.0,0.0,0.4394391217802163,3.0,Fuselage greater than aeroshell diameter,1,Titan,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,288.15873360237015,0.27,Inverted_V,yes,yes,2.0
6,7.0,3.2491532345314647,5.642845177603968,0.0,9.8,2.01191871657754,0.35,0.0,327.75762848583287,868.1665411980957,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02808650750222977,0.20804,7.407115319819805,5.401292952031159,0.7237610670061946,0.08848961464423416,0.08245969342167479,0.1615320022028933,0.08877120434006941,5.401292952031159,6.0,0.0,0.4779352753034225,3.0,Fuselage greater than aeroshell diameter,1,Titan,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,327.75762848583287,0.27,Inverted_V,yes,yes,2.0
7,8.0,1.6163551534660776,4.139246867093146,0.0,10.6,2.107559358288769,0.35,0.0,178.60891054715978,411.0743010755685,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02419204249768689,0.28548,11.800574508220876,2.666671219482994,0.7151061089695153,0.07262409067030937,0.0899286583306887,0.14933699448330473,0.07357112733590718,2.666671219482994,3.0,0.0,0.3225142781756038,3.0,1,1,Titan,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,178.60891054715978,0.27,Inverted_V,yes,yes,0.0
8,9.0,1.5242419266077738,4.168495887406946,0.0,11.4,2.2032,0.35,0.0,169.38845329739837,372.6046374177295,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022828243680948795,0.28749,12.593610091867184,2.607224052646931,0.699962360639841,0.07651082813671412,0.097397408091618,0.1500205453183043,0.0776199737331865,2.607224052646931,3.0,0.0,0.30651945093470956,3.0,1,1,Titan,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,169.38845329739837,0.27,Inverted_V,yes,yes,0.0
9,10.0,1.612130725928154,4.43486131196044,0.0,12.2,2.2988406417112297,0.35,0.0,173.95401363833702,382.54664482635695,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022224306334999007,0.28472,12.811198500788334,2.6298721639210125,0.705731807958045,0.08552795886012579,0.10486598634048591,0.17283579032838498,0.08649959636606291,2.6298721639210125,3.0,0.0,0.3127096266013546,3.0,1,1,Titan,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,173.95401363833702,0.27,Inverted_V,yes,yes,0.0
