,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,1.0,1.3320519572062668,2.5807479121431705,0.0,5.0,1.4380748663101606,0.35,0.0,156.05109982101126,713.0486726941037,LowAcc,45.0,119068.04349397456,119068.04349397456,0.05736291751071633,0.30266,5.276230936884585,2.6906723971009265,0.8072017191302779,0.03508048312549293,0.0376351364361565,0.1281825045910025,0.03546213716828842,1.0093982883148425,1.0,0.0,4.0,0.21582322840169463,3.0,Tail sizing failure,1,Titan,156.05109982101126,48.68234282530339,0.0,52.254400000000004,103.79669982101126,1.3933093131290604,9.20396345472789,0.07299019093970469,0.18375077527046496,0.22494150712493868,15.597698114024826,28.423120076050644,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,0.0
1,2.0,4.0514538689729775,4.847518173255596,0.0,5.8,1.53371550802139,0.35,0.0,231.1840918363658,1534.7623979955424,LowAcc,45.0,119068.04349397456,119068.04349397456,0.042191956406399736,0.14742,3.4940309138553984,3.653353262166226,0.7337899084591833,0.05347181108510487,0.040033071597100886,0.2444590068495164,0.05349871108959634,3.653353262166226,4.0,0.0,4.0,0.3977459689865702,3.0,Tail sizing failure,1,Titan,231.1840918363658,140.17422704145412,0.0,52.254400000000004,178.9296918363658,2.845086881190502,11.862135071909137,0.17003885270413113,0.19545851666843497,0.5453417476688467,23.111254668553524,0.011565491776785735,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
2,3.0,1.9626275350537217,3.599075121660364,0.0,6.6,1.6293561497326203,0.35,0.0,265.99828100716377,734.5271578163002,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03946014833697268,0.26113,6.617562553745673,4.521261254777399,0.7268460749988859,0.038166927221936896,0.0525800245670022,0.1230363267616886,0.03864483342701706,4.521261254777399,5.0,0.0,4.0,0.4385043193777238,3.0,Fuselage greater than aeroshell diameter,1,Titan,265.99828100716377,168.76749615941952,0.0,52.254400000000004,213.74388100716374,2.4532659179933933,14.76745346864667,0.2781574929452249,0.2290471295867346,0.6336086462052888,26.591091534038426,0.00917709388811237,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,0.0
3,4.0,3.0831988155548795,4.776575262162851,0.0,7.4,1.7249967914438509,0.35,0.0,353.901167451211,944.6546109084527,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03315788023938337,0.17976,5.421335703676544,5.523494881484607,0.7393261087359966,0.06438176889679519,0.0600507733566543,0.17886565779889071,0.06469106844964698,5.523494881484607,6.0,0.0,4.0,0.4991036980718925,3.0,Fuselage greater than aeroshell diameter,1,Titan,353.901167451211,216.43258607413927,0.0,52.254400000000004,275.43359388573936,2.845915229099182,19.21149520658619,0.4978135430705566,0.267539409175281,0.7741530797208195,35.38225430698662,0.00725347252114521,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
4,5.0,2.900239121073894,4.876675178111203,0.0,8.2,1.8206374331550803,0.35,0.0,215.25825738842076,817.4715819691913,LowAcc,45.0,119068.04349397456,119068.04349397456,0.029943268724647948,0.19175,6.4037764802264245,3.555008192585262,0.715000371516588,0.0503534435701225,0.0675208544167073,0.10785904911436064,0.05100210836303468,3.555008192585262,4.0,0.0,4.0,0.3762408753328858,3.0,Tail sizing failure,1,Titan,215.25825738842076,126.21099838510158,0.0,52.254400000000004,163.00385738842076,3.167373577890249,11.07181577706049,0.17705607211033278,0.3296655870250708,0.5008400852641552,21.51934290048044,0.01218143904814204,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
5,6.0,2.7402143751798627,4.966077866548083,0.0,9.0,1.91627807486631,0.35,0.0,288.45123742910374,737.562304406711,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02812144289308393,0.20631,7.336394536524263,4.526110387079035,0.7275872444416192,0.0646801339205505,0.0749904535441688,0.14778034559525072,0.06525189412552729,4.526110387079035,5.0,0.0,4.0,0.4394391217802163,3.0,Fuselage greater than aeroshell diameter,1,Titan,288.45123742910374,169.45598561192736,0.0,52.254400000000004,218.40871575062673,3.7860417782563105,15.014303060977436,0.3364528422054163,0.317311091569401,0.635692671458965,28.839186400795338,0.009158728996197662,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
6,7.0,3.251876611804763,5.6452095440015935,0.0,9.8,2.01191871657754,0.35,0.0,328.2513574510451,868.8666621892559,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02808650750222977,0.20804,7.407115319819805,5.402411507333896,0.7239035390607853,0.0884898544203201,0.08245969342167479,0.1615320022028933,0.08877120434006941,5.402411507333896,6.0,0.0,4.0,0.4781332869560202,3.0,Fuselage greater than aeroshell diameter,1,Titan,328.2513574510451,199.2409276925549,0.0,52.254400000000004,256.1940329811058,4.370175000261833,18.109489773242935,0.5063236644002529,0.40260336562087967,0.7242726773433268,32.81810519828158,0.007552044959800281,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
7,8.0,1.6163551534660776,4.139246867093146,0.0,10.6,2.107559358288769,0.35,0.0,178.60891054715978,411.0743010755685,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02419204249768689,0.28548,11.800574508220876,2.666671219482994,0.7151061089695153,0.07262409067030937,0.0899286583306887,0.14933699448330473,0.07357112733590718,2.666671219482994,3.0,0.0,4.0,0.3225142781756038,3.0,1,1,Titan,178.60891054715978,94.71718196945513,0.0,52.254400000000004,126.35451054715978,4.687852638024689,8.122331933658586,0.10845649221888859,0.43907003539972744,0.39605479036663016,17.85213286364184,0.01684625995394527,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,0.0
8,9.0,1.5242419266077738,4.168495887406946,0.0,11.4,2.2032,0.35,0.0,169.38845329739837,372.6046374177295,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022828243680948795,0.28749,12.593610091867184,2.607224052646931,0.699962360639841,0.07651082813671412,0.097397408091618,0.1500205453183043,0.0776199737331865,2.607224052646931,3.0,0.0,4.0,0.30651945093470956,3.0,1,1,Titan,169.38845329739837,86.27675494000533,0.0,52.254400000000004,117.13405329739835,5.26779852547612,7.680934331350955,0.10330372936011807,0.4755356547339352,0.36666124104387665,16.93078675395,0.017694557037684983,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,0.0
9,10.0,1.612130725928154,4.43486131196044,0.0,12.2,2.2988406417112297,0.35,0.0,173.95401363833702,382.54664482635695,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022224306334999007,0.28472,12.811198500788334,2.6298721639210125,0.705731807958045,0.08552795886012579,0.10486598634048591,0.17283579032838498,0.08649959636606291,2.6298721639210125,3.0,0.0,4.0,0.3127096266013546,3.0,1,1,Titan,173.95401363833702,89.49237884166084,0.0,52.254400000000004,121.69961363833701,5.93253806307662,7.85603725205525,0.10978873926253632,0.5120004366731651,0.37793719524743224,17.38699880695371,0.017350738967133943,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,0.0
10,11.0,1.5368707600005613,4.469823249302739,0.0,13.0,2.394481283422459,0.35,0.0,174.10297675751696,381.0216125122614,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02318918855561812,0.29267,12.620967710795291,2.6258260127962205,0.7047010793699754,0.0905441410137334,0.1123344256570543,0.22716333330609514,0.0914494198204005,2.6258260127962205,3.0,0.0,4.0,0.3116127556880753,3.0,1,1,Titan,174.10297675751696,88.91789825433341,0.0,52.254400000000004,121.84857675751697,6.62775452392263,7.832318248001655,0.11233186185197988,0.5484645402856992,0.37592994452535844,17.40188564200744,0.01741017814845903,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,0.0
11,12.0,1.6493502877801194,4.770852541356277,0.0,13.8,2.49012192513369,0.35,0.0,180.50870521906083,367.4556368583403,LowAcc,45.0,119068.04349397456,119068.04349397456,0.020471159264747026,0.29204,14.26592388946513,2.604669866506073,0.6993116996552569,0.08398687239578773,0.1198027508588089,0.15059545036829744,0.08538807044882982,2.604669866506073,3.0,0.0,4.0,0.30581347929718816,3.0,1,1,Titan,180.50870521906083,85.91410650966058,0.0,52.254400000000004,120.10407942589454,7.297019064651805,7.752114848572761,0.11685712803813557,0.5849280867410792,0.36538328428435496,18.041351850811015,0.01773508869449597,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
12,13.0,1.6468840026102423,4.903519800929689,0.0,14.6,2.58576256684492,0.35,0.0,180.7384255348824,364.9324298472976,LowAcc,45.0,119068.04349397456,119068.04349397456,0.020311608692953106,0.29445,14.496636108500665,2.6012122791184105,0.6984309035464865,0.08681563639260323,0.1272709811832587,0.14953672161936613,0.08829699496877771,2.6012122791184105,3.0,0.0,4.0,0.3048552049969486,3.0,1,1,Titan,180.7384255348824,85.42319137279641,0.0,52.254400000000004,120.40884624537655,8.051970113983018,7.732654481717462,0.11929849077296219,0.6213911699650227,0.36365124424120787,18.06431525697716,0.017790550482976904,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
