,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,Winglet,Wing Folding
0,1.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,62.81169112431289,631.3717400886311,LowAcc,45.0,220627.68093700724,220627.68093700724,0.03851333432208539,0.18187,4.722260567704392,1.8172176,0.54516528,-0.0009180142878331394,0.0376351364361565,0.681902877996947,2.7755575615628914e-17,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,0.27,V-tail,yes,no
1,2.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,64.10793872137398,326.2555021695761,LowAcc,45.0,144521.59867256286,144521.59867256286,0.033116488792118835,0.21594,6.520618817879933,1.8172176,0.54516528,-0.0023396490181950844,0.0749904535441688,0.6525981199506106,5.551115123125783e-17,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,0.27,V-tail,yes,no
2,3.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,65.63286434265092,266.1297905657689,LowAcc,45.0,119068.04349397456,119068.04349397456,0.031138578745708512,0.23042,7.399823925225112,1.8172176,0.54516528,-0.004066083610272281,0.1123344256570543,0.667596427820498,8.326672684688674e-17,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,0.27,V-tail,yes,no
3,4.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,67.35705277662787,331.830931247103,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03010438727662528,0.24059,7.99185838892019,1.8172176,0.54516528,-0.006038967733594844,0.1496752397541722,0.6682550561702124,8.326672684688674e-17,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,0.27,V-tail,yes,no
4,5.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,62.81169112431289,587.2086944302207,LowAcc,45.0,216138.98514925173,216138.98514925173,0.037904616347585934,0.18949,4.999127237230781,1.8172176,0.54516528,-0.0009180142878330692,0.0376351364361565,0.3477111395695115,9.71445146547012e-17,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,0.27,Conventional,yes,no
5,6.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,64.10793872137398,310.95413707882136,LowAcc,45.0,142601.46781326414,142601.46781326414,0.032631147290701226,0.22178,6.796573777324704,1.8172176,0.54516528,-0.0023396490181950276,0.0749904535441688,0.30024102686092985,1.1102230246251565e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,0.27,Conventional,yes,no
6,7.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,65.63286434265092,264.8732297283243,LowAcc,45.0,119068.04349397456,119068.04349397456,0.030965986937899,0.23442,7.570241519190703,1.8172176,0.54516528,-0.004066083610272223,0.1123344256570543,0.3851696745256814,1.3877787807814457e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,0.27,Conventional,yes,no
7,8.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,67.35705277662787,330.84154248859494,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03000246599113986,0.24285,8.094334648082492,1.8172176,0.54516528,-0.006038967733594785,0.1496752397541722,0.43296179577357535,1.3877787807814457e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,0.27,Conventional,yes,no
8,9.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,62.81169112431289,597.2488298728529,LowAcc,45.0,217587.2026994717,217587.2026994717,0.037834616347585934,0.18698,4.942035047540013,1.8172176,0.54516528,-0.000918014287833013,0.0376351364361565,0.32890623462839125,1.5265566588595902e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,0.27,T-tail,yes,no
9,10.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,64.10793872137398,310.4234657854988,LowAcc,45.0,142479.15790954963,142479.15790954963,0.032651147290701225,0.22216,6.804048814029555,1.8172176,0.54516528,-0.0023396490181949703,0.0749904535441688,0.30637455723240103,1.6653345369377348e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,0.27,T-tail,yes,no
