Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,Fin_S,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
4000,13.88911307,12.72254676,281.0345865,729.0357126,LowClb,4216.367827,604275.1648,604275.1648,0.061073027,1.5,2.975530485,3.220943349,0.741046297,3.215881418,1.848120504,0.470345559,Span too big,281.0345865,180.751241,0,52.2544,228.7801865,4.147470082,2.246954265,0.361208429,7.236207678,0.608384489,28.09493555,5.319492229,0,0.014292754
4001,15.89382922,8.690067829,9152.148277,27960.76139,LowAcc,121583.4383,3122070.338,3122070.338,0.111320813,1.5,60.92783684,3.730300616,1.25687636,3.730286857,54.43447051,1.7659173,Fuselage too big,9152.148277,7589.174534,0,52.2544,9099.893877,2.084500992,69.0499671,484.8226617,12.27321208,10.57127759,915.208487,16.69634263,0,0.012894095
4002,3.101531007,5.184596701,771.7723001,2356.061975,LowClb,1649.009758,3757827.209,3757827.209,0.022507197,0.642471452,6.613584994,1.797517633,0.244876385,1.791304803,5.02872151,0.838163885,Fuselage too big,771.7723001,600.4376548,0,52.2544,719.5179001,16.87107218,13.36808099,2.015319051,2.391181746,1.476937254,77.16850219,5.773851449,0,0.015300408
4003,11.00641393,10.63207922,16853.28017,49513.56033,LowAcc,7101.153008,4924967.041,4924967.041,0.07986513,1.5,97.15259859,3.249622427,0.501615726,3.249372871,87.49345249,1.574080752,Fuselage too big,16853.28017,13453.60846,0,52.2544,16801.02577,17.41257627,218.8866685,1374.908669,4.898203503,15.9963431,1685.321963,29.9790177,0,0.013867439
4004,8.006791341,10.35706516,11914.9593,38065.90667,LowAcc,6806.390711,4246147.485,4246147.485,0.06356057,1.5,50.26140517,0.788639222,0.772115,0.788771748,45.17612485,1.711409446,Fuselage too big,11914.9593,9941.552532,0,52.2544,11862.7049,9.484035125,148.1555516,529.2921247,7.539588974,13.24676138,1191.488469,21.93264562,0,0.013187752
4005,10.10710803,11.04948252,179.4474074,319.7819374,LowAcc,2515.200601,1966641.586,1966641.586,0.007981246,0.395876532,2.139186529,4.682429701,0.533086899,4.656566028,1.101523464,0.305091589,1,179.4474074,88.84880428,0,52.2544,127.1930074,4.519805629,2.26358998,0.13129944,5.205514856,0.317775769,17.93643464,7.954482085,0,0.015300679
4006,3.039319494,6.363269649,366.3787313,1054.363605,LowAcc,166840.532,1441344.033,1441344.033,0.063891393,1.5,2.561201967,1.890196601,0.116966604,1.889585099,1.763599369,0.568523616,1,366.3787313,265.6368666,0,52.2544,314.1243313,1.505811097,3.497422321,0.162759929,1.142161619,0.811548488,36.63136771,4.722250442,0,0.014143043
4007,1.366160779,4.36721909,3193.394453,10410.49153,LowAcc,832.622625,3507442.536,3507442.536,0.09350436,1.5,36.7531008,1.831626495,0.046735023,1.828487396,31.40340513,1.663876088,Fuselage too big,3193.394453,2641.872597,0,52.2544,3141.140053,35.2576922,64.58486289,63.19813177,0.456360596,4.981335132,319.331325,11.44265444,0,0.015093884
4008,7.642559167,7.820392499,191.9652422,365.7228883,LowClb,4989.826684,1831666.479,1831666.479,0.005957626,0.145612544,4.983266512,1.135754053,0.6999585,1.136420506,2.139896584,0.327787282,Fuselage too big,191.9652422,97.7362777,0,52.2544,139.7108422,1.869675587,3.347612063,0.320749916,6.834991408,0.353644343,19.18717502,10.04565842,0,0.015057735
4009,9.602931247,11.43685197,3493.929412,11529.81824,LowClb,7762.839151,2571531.224,2571531.224,0.055159874,1.5,21.35230836,0.896025926,1.158169027,0.897716152,18.70009703,1.578500412,Fuselage too big,3493.929412,2939.867269,0,52.2544,3441.675012,29.55369748,47.81608675,48.20949123,11.30934955,5.340988164,349.3848346,10.17856208,0,0.014732602
4010,2.475414262,2.400715745,402.9966374,1193.026697,LowClb,57408.05934,881709.8209,881709.8209,0.25101591,1.5,7.445501659,0.757967706,0.22570078,0.758191208,4.581352376,0.605532786,Fuselage too big,402.9966374,296.2095352,0,52.2544,350.7422374,0.269805185,3.316530883,1.063168854,2.203934789,0.893708489,40.29224311,6.4793254,0,0.013985476
4011,6.1652917,5.483983424,938.0047217,2840.038077,LowClb,10757.1975,2117677.233,2117677.233,0.126202474,1.5,8.094729492,2.111947811,0.437017383,2.111934838,6.329803701,0.939650182,Fuselage too big,938.0047217,773.8080491,0,52.2544,885.7503217,0.229227828,4.646031345,2.470394674,4.267410223,1.766291731,93.79470959,4.755352454,0,0.01285474
4012,9.478912309,7.199374652,143862.3837,293267.3054,LowAcc,9410.594572,5319273.079,5319273.079,0.196444024,1.5,430.9095508,3.250418037,0.596988276,3.250391019,390.2000121,1.568935391,Fuselage too big,143862.3837,41302.06107,0,52.2544,143810.1293,17.30815422,986.2260644,86988.18417,5.829502374,37.8872812,14386.22989,86.38934867,0,0.013794647
4013,4.181331329,3.957716455,5860.727918,19440.45624,LowAcc,38325.6977,3074220.432,3074220.432,0.158831462,1.5,37.43448929,1.777433717,0.346335284,1.777437567,33.25388664,1.754554887,Fuselage too big,5860.727918,5042.593202,0,52.2544,5808.473518,0.872837667,55.22099821,99.78302477,3.381912911,8.031178621,586.0649441,12.51240598,0,0.013013834
