,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type
0,27.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,165.41433174784999,297.05186121217395,LowAcc,45.0,182689.9368146706,182689.9368146706,0.008017418333211864,0.23269,29.023058337381514,2.4382713354588934,0.731481400637668,0.07878784435885375,0.0562241091462278,0.06999938818408667,0.08397734568981391,1.8206352272148665,2.0,0.0,0.27135412153365135,3.0,1,1,Titan,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,0.27,Inverted_V
1,31.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,165.41433174784999,297.05186121217395,LowAcc,45.0,182689.9368146706,182689.9368146706,0.008017418333211864,0.23269,29.023058337381514,2.4382713354588934,0.731481400637668,0.07878784181735785,0.0562241091462278,0.06999938818408667,0.08397734334454035,1.8206352272148665,2.0,0.0,0.27135412153365135,3.0,1,1,Titan,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,165.41433174784999,0.27,Inverted_V
2,51.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,156.7734563400169,260.7369826659342,LowAcc,45.0,178873.56141750928,178873.56141750928,0.007135108455079403,0.23546,33.0001991535782,2.3646833086749637,0.709404992602489,0.059727187830381674,0.2563151091462278,0.0700000181987927,0.06677830123854625,1.762860895389913,2.0,0.0,0.25269526436405493,3.0,1,1,Titan,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,0.27,Conventional
3,52.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,150.56534682333802,221.42548546443794,LowAcc,45.0,156750.44065271175,156750.44065271175,0.006522077227817787,0.24538,37.62298289775102,2.3022303981811825,0.6906691194543547,0.06731333372479449,0.27649148440640364,0.06997408893831018,0.0751791549952732,1.7138287996537924,2.0,0.0,0.2357039155538348,3.0,1,1,Titan,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,0.27,Conventional
4,55.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,156.7734563400169,260.7369826659342,LowAcc,45.0,178873.56141750928,178873.56141750928,0.007135108455079403,0.23546,33.0001991535782,2.3646833086749637,0.709404992602489,0.05972719337523112,0.2563151091462278,0.0700000181987927,0.06677830632457422,1.762860895389913,2.0,0.0,0.25269526436405493,3.0,1,1,Titan,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,156.7734563400169,0.27,Conventional
5,56.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,150.56534682333802,221.42548546443794,LowAcc,45.0,156750.44065271175,156750.44065271175,0.006522077227817787,0.24538,37.62298289775102,2.3022303981811825,0.6906691194543547,0.06731333938249402,0.27649148440640364,0.06997408893831018,0.07517916008130118,1.7138287996537924,2.0,0.0,0.2357039155538348,3.0,1,1,Titan,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,150.56534682333802,0.27,Conventional
6,59.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,157.6348825049281,265.3334700348685,LowAcc,45.0,180019.1455818398,180019.1455818398,0.007167779662451093,0.23307,32.5163455038878,2.373977618455568,0.7121932855366704,0.06045968736637074,0.25343210914622777,0.07000005370516567,0.06730849647745436,1.7701579049825906,2.0,0.0,0.25512721815178124,3.0,1,1,Titan,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,0.27,Conventional
7,60.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,150.76112031468693,223.74585962429774,LowAcc,45.0,157363.41545541186,157363.41545541186,0.006547236883431907,0.2437,37.221808885011384,2.30694867792379,0.6920846033771371,0.06799347809091551,0.27405548440640365,0.06997328942183251,0.07566556711435342,1.7175331449312217,2.0,0.0,0.2370301395931,3.0,1,1,Titan,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,0.27,Conventional
8,63.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,157.6348825049281,265.3334700348685,LowAcc,45.0,180019.1455818398,180019.1455818398,0.007167779662451093,0.23307,32.5163455038878,2.373977618455568,0.7121932855366704,0.06045965128391713,0.25343210914622777,0.06999986851493921,0.06730846328421043,1.7701579049825906,2.0,0.0,0.25512721815178124,3.0,1,1,Titan,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,157.6348825049281,0.27,Conventional
9,64.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,150.76112031468693,223.74585962429774,LowAcc,45.0,157363.41545541186,157363.41545541186,0.006547236883431907,0.2437,37.221808885011384,2.30694867792379,0.6920846033771371,0.06799349393082924,0.27405548440640365,0.06997346717240259,0.07566558139584692,1.7175331449312217,2.0,0.0,0.2370301395931,3.0,1,1,Titan,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,150.76112031468693,0.27,Conventional
