,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,CASE
0,9.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,121.88418166564904,87.27890716554239,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007984552396965645,0.1739,21.779555240452414,2.2107898351934123,0.6632369505580237,0.05552346709073702,0.0189316975992143,0.06999986449384528,0.056138359686742786,0.821019175704175,1.0,0.0,0.13136823847261062,3.0,1,1,Titan,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,121.88418166564904,0.27,V-tail,1
1,10.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,127.90657619643446,105.30960730114178,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007745730192674933,0.21326,27.532588238314585,2.2840102119916192,0.6852030635974857,0.06894214420961,0.037583575870284505,0.06999998026652038,0.07054992738505604,0.8497620196854972,1.0,0.0,0.14873556827624346,3.0,1,1,Titan,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,0.27,V-tail,2
2,14.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,127.90657619643446,105.30960730114178,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007745730192674933,0.21326,27.532588238314585,2.2840102119916192,0.6852030635974857,0.06894216163751063,0.037583575870284505,0.06999998026652038,0.07054994444773953,0.8497620196854972,1.0,0.0,0.14873556827624346,3.0,1,1,Titan,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,127.90657619643446,0.27,V-tail,3
3,18.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,128.83862044860763,104.59048654850096,LowAcc,45.0,119068.04349397456,119068.04349397456,0.00751316109381015,0.2135,28.416800509694347,2.281084444767047,0.6843253334301141,0.05655669027416956,0.2317105758702845,0.06999999397859874,0.058433465789010056,0.8486135023664275,1.0,0.0,0.1480806724638766,3.0,1,1,Titan,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,0.27,Conventional,4
4,19.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,135.39807487555223,117.83306170630371,LowAcc,45.0,119068.04349397456,119068.04349397456,0.006745896886041186,0.23245,34.45798296754173,2.3348531200097975,0.7004559360029392,0.06400637946629244,0.2534381091462278,0.07000004827704787,0.06735649395037249,0.8697205317367356,1.0,0.0,0.15968781427499143,3.0,1,1,Titan,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,0.27,Conventional,5
5,20.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,143.26019934702714,130.81581612714234,LowAcc,45.0,119068.04349397456,119068.04349397456,0.006286108623415733,0.24331,38.70598085016716,2.387557944656438,0.7162673833969314,0.07080341917476038,0.27405548440640365,0.07000002848590979,0.07569929522210408,0.89040994386659,1.0,0.0,0.17029923609446174,3.0,1,1,Titan,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,0.27,Conventional,6
6,22.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,128.83862044860763,104.59048654850096,LowAcc,45.0,119068.04349397456,119068.04349397456,0.00751316109381015,0.2135,28.416800509694347,2.281084444767047,0.6843253334301141,0.05655666706006448,0.2317105758702845,0.06999999397859874,0.05843344306389815,0.8486135023664275,1.0,0.0,0.1480806724638766,3.0,1,1,Titan,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,128.83862044860763,0.27,Conventional,7
7,23.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,135.39807487555223,117.83306170630371,LowAcc,45.0,119068.04349397456,119068.04349397456,0.006745896886041186,0.23245,34.45798296754173,2.3348531200097975,0.7004559360029392,0.06400635577298357,0.2534381091462278,0.07000004827704787,0.06735647122526059,0.8697205317367356,1.0,0.0,0.15968781427499143,3.0,1,1,Titan,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,135.39807487555223,0.27,Conventional,8
8,24.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,143.26019934702714,130.81581612714234,LowAcc,45.0,119068.04349397456,119068.04349397456,0.006286108623415733,0.24331,38.70598085016716,2.387557944656438,0.7162673833969314,0.07080339486638801,0.27405548440640365,0.06999985044897354,0.07569927249699215,0.89040994386659,1.0,0.0,0.17029923609446174,3.0,1,1,Titan,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,143.26019934702714,0.27,Conventional,9
9,26.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,128.9376413185138,105.12956121101472,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007631108965577728,0.21696,28.430992268444776,2.283273986098627,0.6849821958295881,0.06199360462576822,0.23140757587028457,0.07000011561140694,0.06373965137092923,0.8494730123503451,1.0,0.0,0.14857104527605275,3.0,1,1,Titan,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,0.27,T-tail,10
10,27.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,135.48918249839946,118.2812434816083,LowAcc,45.0,119068.04349397456,119068.04349397456,0.006810856830713304,0.23444,34.42151344935069,2.336673651413211,0.7010020954239633,0.06835553243757822,0.2545421091462278,0.06999996301405835,0.07151020592615709,0.8704351859406552,1.0,0.0,0.16006608473631867,3.0,1,1,Titan,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,0.27,T-tail,11
11,28.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,143.3338893131496,131.1583072888297,LowAcc,45.0,119068.04349397456,119068.04349397456,0.006323195628840646,0.24453,38.67190173346486,2.3889492299934054,0.7166847689980216,0.0743031659055468,0.27616748440640365,0.06999994139708289,0.07895433150525127,0.8909560964421792,1.0,0.0,0.17057041005337797,3.0,1,1,Titan,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,0.27,T-tail,12
12,30.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,128.9376413185138,105.12956121101472,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007631108965577728,0.21696,28.430992268444776,2.283273986098627,0.6849821958295881,0.061993608471733616,0.23140757587028457,0.07000011561140694,0.06373965513663082,0.8494730123503451,1.0,0.0,0.14857104527605275,3.0,1,1,Titan,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,128.9376413185138,0.27,T-tail,13
13,31.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,135.48918249839946,118.2812434816083,LowAcc,45.0,119068.04349397456,119068.04349397456,0.006810856830713304,0.23444,34.42151344935069,2.336673651413211,0.7010020954239633,0.06835553636277578,0.2545421091462278,0.07000014794376656,0.07151020969185871,0.8704351859406552,1.0,0.0,0.16006608473631867,3.0,1,1,Titan,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,135.48918249839946,0.27,T-tail,14
14,32.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,143.3338893131496,131.1583072888297,LowAcc,45.0,119068.04349397456,119068.04349397456,0.006323195628840646,0.24453,38.67190173346486,2.3889492299934054,0.7166847689980216,0.07430316993258959,0.27616748440640365,0.06999994139708289,0.07895433527095291,0.8909560964421792,1.0,0.0,0.17057041005337797,3.0,1,1,Titan,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,143.3338893131496,0.27,T-tail,15
15,34.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,130.02182331599928,109.42232535707485,LowAcc,45.0,119068.04349397456,119068.04349397456,0.008549451367139084,0.21295,24.908031036763447,2.3007089983565066,0.690212699506952,0.05930280422727171,0.23821157587028455,0.06999995200798587,0.06110096938716364,0.8563171704802847,1.0,0.0,0.15241952734223108,3.0,1,1,Titan,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,0.27,H-tail,16
16,35.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,136.63032015535947,122.44310207959857,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007400173097061643,0.23206,31.358725931984363,2.3535774481175205,0.7060732344352562,0.06798192044040426,0.2601941091462278,0.06999989641538024,0.07113272089011319,0.8770708140623592,1.0,0.0,0.16353658647515482,3.0,1,1,Titan,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,0.27,H-tail,17
17,36.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,163.5687302134745,182.8196322458802,LowAcc,45.0,119068.04349397456,119068.04349397456,0.011595051388696332,0.24306,20.962390924541474,2.5987677625293792,0.7796303287588138,0.07698935448133565,1.1282623356691803,0.07000013474861935,0.0809128436961432,0.9733208917189387,1.0,0.0,0.20744710769903785,3.0,1,1,Titan,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,163.5687302134745,0.27,H-tail,18
18,38.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,130.02182331599928,109.42232535707485,LowAcc,45.0,119068.04349397456,119068.04349397456,0.008549451367139084,0.21295,24.908031036763447,2.3007089983565066,0.690212699506952,0.059302817074149396,0.23821157587028455,0.06999995200798587,0.06110098196652505,0.8563171704802847,1.0,0.0,0.15241952734223108,3.0,1,1,Titan,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,130.02182331599928,0.27,H-tail,19
19,39.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,136.63032015535947,122.44310207959857,LowAcc,45.0,119068.04349397456,119068.04349397456,0.007400173097061643,0.23206,31.358725931984363,2.3535774481175205,0.7060732344352562,0.06798193354923072,0.2601941091462278,0.07000008138791552,0.07113273346947459,0.8770708140623592,1.0,0.0,0.16353658647515482,3.0,1,1,Titan,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,136.63032015535947,0.27,H-tail,20
