,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,7.0,0.5525771217977526,2.3270702167356223,0.0,9.8,2.01191871657754,0.35,0.0,157.69174261485117,326.17188395417804,LowAcc,5080829.192371487,16.100176161594945,0.034204491001940514,0.5574683645461466,16.298104378004627,1.4552802184112905,2.4950756264219,0.74852268792657,0.0594623685676005,0.0795880683610938,0.1497734092684129,0.0595299740184782,1.8652325632028812,2.0,0.0,4.0,0.28492288077437816,3.0,1,1,Titan,157.69174261485117,75.5613614778543,0.0,52.254400000000004,105.43734261485116,0.21508895934356492,8.398085646080853,0.08537474576239198,0.38858286825765176,0.32831752458866176,15.761899063853912,4.684048764669484,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
1,8.0,0.6028114055975484,2.527805550143051,0.0,10.6,2.1075593582887704,0.35,0.0,140.43732809105484,263.581337456591,LowAcc,4760799.197428071,15.086062303305926,0.02955420062537997,0.518340010999843,17.53862395299277,1.2898078074922539,2.3675596786937216,0.7102679036081164,0.0631020660616263,0.0867970433510984,0.1498427959816113,0.06316161315103119,1.7651191480320583,2.0,0.0,4.0,0.2534503902175112,3.0,1,1,Titan,140.43732809105484,61.34705959617524,0.0,52.254400000000004,88.18292809105483,0.17300059728582368,7.13617447558484,0.07403196195470681,0.4237801564504516,0.2752657238252366,14.03780799331829,4.701224022019917,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
2,9.0,0.6530456893973441,2.7285015776300594,0.0,11.4,2.2032,0.35,0.0,135.37548320464342,241.3994590117552,LowAcc,4542794.042042104,14.395245652527771,0.027690670259059573,0.5065516356496731,18.2932240682742,1.2411928168591289,2.329957438957842,0.6989872316873526,0.06402487322592283,0.0940058107189507,0.13034756822360422,0.06408538719968196,1.7355974395312865,2.0,0.0,4.0,0.24339396914982717,3.0,1,1,Titan,135.37548320464342,57.15550868387355,0.0,52.254400000000004,83.12108320464341,0.1703913559616547,6.723028680991468,0.07214167141088708,0.45897643094342017,0.2590366198167443,13.52758135308023,4.739834844125135,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
3,10.0,0.7032799731971398,2.929166378512,0.0,12.2,2.2988406417112297,0.35,0.0,135.15435539533004,243.42456127679588,LowAcc,4384455.666579957,13.893501617930253,0.027398152092620892,0.5041314520821879,18.400199049116345,1.197534633172124,2.3290394786230237,0.6987118435869071,0.07566299034030267,0.1012144125678426,0.1645503899542072,0.07569870754974593,1.7348767442320139,2.0,0.0,4.0,0.2431432670735158,3.0,1,1,Titan,135.15435539533004,57.05318293131493,0.0,52.254400000000004,82.89995539533004,0.15523283569742438,6.603689040508674,0.07392480490680928,0.4941718973022838,0.2586365788603184,13.50551115227005,4.74102259002921,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
4,11.0,0.7535142569969355,3.129805958994928,0.0,13.0,2.39448128342246,0.35,0.0,140.61468307039266,244.92908836688576,LowAcc,4285162.0640495485,13.578859178294763,0.025542517336406622,0.5124813435209752,20.063854191478537,1.343274919510934,2.371077070698192,0.7113231212094575,0.07825132124310807,0.1184228803346196,0.14312644876238256,0.07828360046793308,1.7678806702756344,2.0,0.0,4.0,0.2543707552078232,3.0,1,1,Titan,140.61468307039266,61.73914601892074,0.0,52.254400000000004,88.36028307039265,0.12098950028514194,6.796101027250913,0.08040213642969549,0.5781909707743876,0.2767686960233365,14.0555547483092,4.698546407958902,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
5,12.0,0.8037485407967312,3.3304248772483804,0.0,13.8,2.490121925133691,0.35,0.0,142.78994557816588,251.00920253189025,LowAcc,4175698.8284809566,13.231991116184236,0.024714751488421383,0.5137980593637476,20.789125053693414,1.3651287926199163,2.3880242620975394,0.7164072786292618,0.07965419571233508,0.1256312379671669,0.1331112539359709,0.0796841243902899,1.781185995913483,2.0,0.0,4.0,0.25875929844535367,3.0,1,1,Titan,142.78994557816588,63.62826262659735,0.0,52.254400000000004,90.5355455781659,0.12073592735176103,6.829791044772098,0.08420944903763716,0.6133852447649779,0.2839757959281387,14.272920461177188,4.687681464096403,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
6,13.0,0.8539828245965269,3.5310266551116958,0.0,14.6,2.58576256684492,0.35,0.0,144.4980187043396,257.2545954022479,LowAcc,4074028.950828974,12.909818715076474,0.02402592190018,0.5140885116423468,21.39724393420655,1.3811463763652017,2.4013099452357496,0.7203929835707248,0.08124998251990914,0.1328395040295991,0.13758521131441626,0.08128023769357552,1.7916166529061197,2.0,0.0,4.0,0.2621483118520732,3.0,1,1,Titan,144.4980187043396,65.10922806029672,0.0,52.254400000000004,92.24361870433957,0.1252187430725044,6.843795290174515,0.08762254140111642,0.6485790716712412,0.2895871166673267,14.44360261916649,4.6814016974493375,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
7,14.0,0.9042171083963224,3.731614056853062,0.0,15.4,2.68140320855615,0.35,0.0,146.8093817847684,263.016662555206,LowAcc,3996365.742132995,12.663718857368732,0.023328831511915036,0.5126535858571625,21.97510773719328,1.3885368474410564,2.4196911176504923,0.7259073352951476,0.08453880890580547,0.12780459654585452,0.003659866055470886,0.08457555044295514,1.8060478042881123,2.0,0.0,4.0,0.26676614113122576,3.0,1,1,Titan,146.8093817847684,67.1581916471831,0.0,52.254400000000004,94.55498178476839,0.1453005939744559,6.873669882570004,0.0916467156646652,0.6239965075792372,0.29729684601998047,14.67456902042133,4.67572700691529,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
8,15.0,0.9544513921961184,3.932189282521522,0.0,16.200000000000003,2.77704385026738,0.35,0.0,148.5848643154743,269.94386953902205,LowAcc,3917516.6524314624,12.41386116951689,0.022864605897895234,0.5115315418962082,22.37220025486188,1.396555121844169,2.4336220440633847,0.7300866132190154,0.08396377850626137,0.1290550848002534,-0.043645511815510005,0.08400395099703173,1.8169850450374891,2.0,0.0,4.0,0.2702133878544655,3.0,1,1,Titan,148.5848643154743,68.7110828506145,0.0,52.254400000000004,96.33046431547432,0.1526226101282861,6.898196825465462,0.09518258604224768,0.6301019241652034,0.3031000010326132,14.851986556430157,4.673607397155507,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
9,16.0,1.004685675995914,4.132754104943886,0.0,17.0,2.872684491978609,0.35,0.0,150.86766763786483,278.0836766372074,LowAcc,3835397.8133268976,12.153642271043735,0.02256684158935382,0.514776245041246,22.81117820599662,1.4190059223852112,2.4499203197396353,0.7349760959218905,0.09805198790868665,0.16344463182155441,-0.06338287013159767,0.0980808765522102,1.8297809036607826,2.0,0.0,4.0,0.27419143380436023,3.0,1,1,Titan,150.86766763786483,70.52786431787767,0.0,52.254400000000004,98.61326763786482,0.16396246827602987,6.946391479266082,0.09915652542445592,0.798006348720267,0.3098472566778518,15.080097756025175,4.673357921156967,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
