,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
0,4.0,1.418681194,3.519917010450735,0.0,8.733333333,2.590316883,0.35,0.0,152.85063905307175,279.93696497964896,LowAcc,400000.0,14.421288778603484,0.015504489134002673,0.2623250294980568,16.91929525899409,0.008433308705555555,2.4029783934766233,0.720893518042987,0.09189079799699677,0.201383207,0.169444843,0.031938364,0.15036839519938544,0.09715602884064373,1.792926560054249,2.0,0.0,1.0,0.2625708208256272,3.0,1,1,Titan,152.85063905307175,64.45691831481386,0.0,52.254400000000004,100.59623905307173,7.492103382745703,7.30849373365706,0.09164089963108532,0.9832386412488746,0.2902894647231503,15.278225614676618,4.680745437135058,0.0,0.014583564440330758,0.0,0.0,V-tail,no,yes,0.0,winter,0.029297508981808242,30.0,4.85
1,8.0,0.738052002,3.151518876513832,0.0,13.45714286,2.872684492,0.35,0.0,135.1423780980275,221.21007076987436,LowAcc,400000.0,13.52060651319701,0.025181384758061177,0.5071981688459207,20.141790204113146,1.3253160685427867,2.2853895082240845,0.6856168524672253,0.06655123313793364,0.086316775,0.044378411,0.041938364,0.14884472283180988,0.0685680194506234,1.7006069318156218,2.0,0.0,1.0,0.23090813629335818,3.0,1,1,Titan,135.1423780980275,51.50603392173873,0.0,52.254400000000004,82.8879780980275,6.067991652902558,6.247285379285203,0.07377830131273455,0.42143528168157945,0.23938434782862864,13.504358480994188,4.813127167843558,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,no,0.0,spring,0.009374753353882246,100.0,5.0
2,12.0,1.052188552,2.92708405523928,0.0,8.142857143,1.460846448,0.35,0.0,173.23608026330464,345.89463700310256,LowAcc,400000.0,16.266667556777644,0.018079218996667278,0.3150743321968601,17.427430479985937,0.16104913625668607,2.5528167840890474,0.7658450352267142,0.09859187992693569,0.177748254,0.144431557,0.033316697,0.15613277207540194,0.10183928130499281,1.9105654379762977,2.0,0.0,2.0,0.29808308375828335,3.0,1,1,Titan,173.23608026330464,80.9916168923189,0.0,52.254400000000004,120.98168026330463,7.77906380426865,8.8392766287326,0.10380224412530002,0.8678427280548762,0.3514977158907142,17.315170763621264,4.718825921851976,0.0,0.014583564440330758,0.0,0.0,V-tail,no,no,0.0,fall,0.07792152314768575,10.0,5.0
3,16.0,0.37155936,2.5132666233410257,0.0,17.0,1.460846448,0.35,0.0,168.01901952363875,366.37030620526775,LowAcc,400000.0,15.809934831759467,0.05414150577961551,0.9160844484621963,16.920187853495307,3.090658643514454,2.603043168168416,0.6988973096759712,0.21133959044657896,0.165599481,0.1569382,0.008661281,0.31954963660643093,0.20701151897204362,2.603043168168416,3.0,0.0,6.0,0.30536301258188997,3.0,1,1,Titan,168.01901952363875,84.56305709076682,0.0,52.254400000000004,115.76461952363873,4.996537177855213,8.107045470767702,0.09863361324267221,0.808527240754284,0.36456870642300815,16.793905563215098,0.017761096173596037,0.0,0.014583564440330758,0.0,0.0,V-tail,no,yes,0.0,spring,0.008017259565263477,100.0,5.0
4,24.0,0.790408094,3.33216923317958,0.0,14.04761905,1.884397861,0.35,0.0,137.5656133218419,215.47104832515635,LowAcc,400000.0,13.017435436870409,0.025229385449255508,0.5200834996018177,20.61419611856478,1.3729195624245456,2.2986686365614326,0.6896005909684297,0.14183403733130245,0.230433832,0.169444843,0.06098898900000001,0.21165444344507195,0.1405337893269286,1.7110324426009662,2.0,0.0,2.0,0.23469780420487002,3.0,1,1,Titan,137.5656133218419,52.980688638720224,0.0,52.254400000000004,85.3112133218419,6.133602185963663,6.196198231137907,0.07710106464655936,1.1250761731759065,0.24529044577558892,13.750913859948765,4.787759158032952,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,yes,0.0,summer,0.032457071868678564,30.0,5.0
5,26.0,0.476271544,2.3591467075282035,0.0,11.68571429,2.872684492,0.35,0.0,186.84079919051695,438.1681591285107,LowAcc,400000.0,17.424803620246045,0.04102102769873425,0.6542545139901627,15.949247268867191,2.2006427167266236,2.708339007349732,0.7257206853487103,0.1118104964005527,0.168876564,0.1569382,0.011938363999999995,0.15672441244143936,0.11107188947848644,2.708339007349732,3.0,0.0,6.0,0.33326810464723206,3.0,1,1,Titan,186.84079919051695,99.33567704401274,0.0,52.254400000000004,134.58639919051694,5.808751434948471,9.38414179931225,0.11147075994613753,0.8245273565741684,0.4162867810690318,18.674616000422787,0.016344449791001907,0.0,0.014583564440330758,0.0,0.0,V-tail,no,yes,0.0,spring,0.024247494934718814,30.0,5.0
6,34.0,0.528627635,2.4218277140550053,0.0,11.0952381,2.519724981,0.35,0.0,163.99893027244673,333.2626162996992,LowAcc,400000.0,15.977856015932772,0.03739866578455102,0.615346275278994,16.45369593728092,1.8122341279167047,2.5091627947918984,0.7527488384375695,0.06278730179921874,0.070497504,0.044378411,0.026119093,0.15134290249949534,0.06380668780564575,1.8762924703026052,2.0,0.0,1.0,0.2881890176371222,3.0,1,1,Titan,163.99893027244673,76.18371966990027,0.0,52.254400000000004,111.74453027244671,5.167403520277185,8.52777335298288,0.0901857433009897,0.34419885886710055,0.3340162553817227,16.392151272903845,4.690498034392378,0.0,0.014583564440330758,0.0,0.0,V-tail,no,no,0.0,spring,0.07933001219295073,10.0,4.55
7,37.0,0.423915452,2.4402874378041126,0.0,14.04761905,1.460846448,0.35,0.0,151.49936687785333,289.902242328995,LowAcc,400000.0,14.796311120207722,0.04818243004675166,0.8265898950326163,17.15542147273543,2.875879564612282,2.4219412635480313,0.7265823790644094,0.06845742138043025,0.07882341899999999,0.056885055,0.021938363999999995,0.15541379941394703,0.06866827889628148,1.8078144052070455,2.0,0.0,4.0,0.26732595625259065,3.0,1,1,Titan,151.49936687785333,66.58526066067203,0.0,52.254400000000004,99.24496687785333,4.546469658239826,7.516729296012624,0.08039431008364378,0.38484952420164165,0.2982364758051347,15.14318238213293,4.67526100626514,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,yes,0.0,spring,0.08566483242097193,10.0,3.8
8,48.0,1.418681194,3.860428493700888,0.0,10.5047619,2.590316883,0.35,0.0,146.28007396159495,221.7662530282923,LowAcc,400000.0,13.226320118290017,0.013969352616649793,0.2984610964820638,21.36542076590822,-0.04508671876757553,2.3012168038878507,0.6903650411663551,0.07140507522653883,0.145062676,0.11941827,0.025644406,0.15222207753540745,0.07797351419489956,1.713033021650249,2.0,0.0,5.0,0.23541803743607737,3.0,1,1,Titan,146.28007396159495,53.298687265272086,0.0,52.254400000000004,88.63735250668554,8.540173645279772,6.339002254780266,0.08567086725115423,0.7082578064523807,0.24641871708314325,14.621305721170593,4.783252664955823,0.0,0.014583564440330758,0.0,5.388321454909416,V-tail,yes,yes,2.0,winter,0.09583342163391033,10.0,3.65
9,53.0,1.261612919,3.53666381487406,0.0,9.914285714,2.872684492,0.35,0.0,147.00485409128387,250.28058075008997,LowAcc,400000.0,14.101672768254922,0.015005265279565722,0.2967083120433398,19.773613229444155,-0.0608657981136449,2.359925249653482,0.7079775748960445,0.0437571581733815,0.114270755,0.088151662,0.026119093,0.09724958059512882,0.05079990419417292,1.7591253191995504,2.0,0.0,6.0,0.25144116530354077,3.0,1,1,Titan,147.00485409128387,59.75983366995575,0.0,52.254400000000004,94.75045409128387,7.75819880429989,6.899717708848401,0.08654662209093232,0.5579185253549123,0.27199489362756885,14.694101876502167,4.707558426163924,0.0,0.014583564440330758,0.0,0.0,V-tail,no,yes,0.0,summer,0.08988462102273088,10.0,5.0
