,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,5.0,2.6911223464176266,3.937764678430142,0.0,5.761904761904762,1.5291611917494272,0.35,0.0,155.5602052977187,263.09864354484483,LowAcc,13580827.432523021,14.345015075632096,0.007577285132419533,0.1422422054432438,18.772185942252364,-1.141283717186023,2.3800575533976045,0.7140172660192813,0.09613376060191252,0.3961699586921702,0.13535820556749179,0.11358041424500162,1.7749312926404324,2.0,0.0,4.0,0.25670563197260987,3.0,1,1,Titan,155.5602052977187,62.74020741090253,0.0,52.254400000000004,103.30580529771869,10.829858127184652,7.169444155793699,0.09547146991092259,1.93427057643447,0.28059482389350776,15.54899798950312,4.692377179655463,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
1,6.0,2.798767240274332,4.081584105608598,0.0,5.9523809523809526,1.5519327731092438,0.35,0.0,179.69603292371693,366.4560350685928,LowAcc,14588881.766933637,15.409792217969297,0.00884358481951828,0.13691264865471214,15.48157805334081,-1.200366654950238,2.6488769923260724,0.7105731545475057,0.12070053148061227,0.3626701673845732,0.09562270086432423,0.13000413698033908,2.6488769923260724,3.0,0.0,4.0,0.3178109984414471,3.0,1,1,Titan,179.69603292371693,92.19072219253037,0.0,52.254400000000004,127.44163292371691,7.254512646947648,7.717922066796384,0.12797836109071856,1.7707103184661752,0.38732452060507355,17.96079688784113,0.017082364999076113,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
2,8.0,3.0140570279877417,4.36909920280169,0.0,6.333333333333333,1.597475935828877,0.35,0.0,175.01072163064472,325.91475600122686,LowAcc,12965396.409806635,13.694953999254945,0.010310609622763783,0.1567680170337891,15.20453423895289,-0.9625294070095483,2.4975337271197144,0.7492601181359143,0.15922151068511176,0.6825689529637933,0.14961953340457054,0.17369317449419377,1.867162430486749,2.0,0.0,4.0,0.2854954872658892,3.0,1,1,Titan,175.01072163064472,75.835367874676,0.0,52.254400000000004,122.75632163064472,13.02719603168961,7.922205112199103,0.11740368682578171,3.3325925228253372,0.32931400703746894,17.492585343880968,4.685073487070127,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
3,10.0,3.229346815701152,4.6564747600664935,0.0,6.714285714285714,1.6430190985485102,0.35,0.0,178.56960416802804,311.19608255817786,LowAcc,12678429.2899025,13.391839356079572,0.00966758700274064,0.15612692837558456,16.149524005454985,-0.9760537794181833,2.4659118370390765,0.7397735511117229,0.12330299561130693,0.5269399114016646,0.14999128022917074,0.14193302908010985,1.84233592473174,2.0,0.0,4.0,0.27803929328074006,3.0,1,1,Titan,178.56960416802804,72.31045119026561,0.0,52.254400000000004,119.59712073338358,14.08368535080188,7.656416158413683,0.11979218264721558,2.572745216568008,0.31642502416352847,17.84771212366492,4.675309922418399,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
4,11.0,3.336991709557857,4.800118043617406,0.0,6.904761904761905,1.6657906799083273,0.35,0.0,172.54901705490084,287.35906736247995,LowAcc,12087238.24035194,12.767382226312034,0.009854938956416336,0.1606271935274954,16.29915661962721,-0.908405851957832,2.4223462667128604,0.7267038800138581,0.1596098804627104,0.7841801007896658,0.14910525040809675,0.17509626916979928,1.8081323752390956,2.0,0.0,4.0,0.2674265927823058,3.0,1,1,Titan,172.54901705490084,67.45416317847588,0.0,52.254400000000004,113.93482128909295,13.14054622631212,7.162388591391155,0.11468878469216773,3.82870145073634,0.29840550476867633,17.246161718617657,4.675182269658619,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
5,12.0,3.444636603414561,4.943735111512201,0.0,7.095238095238095,1.688562261268143,0.35,0.0,168.81552254736428,275.2558967050852,LowAcc,11797949.981372153,12.461815834508068,0.009772343997673818,0.1597981465920019,16.352079565561734,-0.9307421865749731,2.397570680001264,0.7192712040003792,0.14234103491712435,0.7045459228278922,0.14808681507979857,0.16005091011251937,1.788680936868061,2.0,0.0,4.0,0.261198917943398,3.0,1,1,Titan,168.81552254736428,64.69240925601707,0.0,52.254400000000004,110.42929574383413,13.419011286621235,6.907132533340897,0.11215416872173238,3.4398934557573666,0.2880111628576029,16.873122089579265,4.682978226498614,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
6,13.0,3.552281497271267,5.087328183983003,0.0,7.285714285714286,1.7113338426279607,0.35,0.0,165.70953983791364,263.74977258121294,LowAcc,11523111.619763406,12.171512429930674,0.009673026579246227,0.15944704462711426,16.483676884462692,-0.9348799043449492,2.3774330876599787,0.7132299262979936,0.12971084314238437,0.6477112249440466,0.14864229788343833,0.14919325285868912,1.7728708113228122,2.0,0.0,4.0,0.25602548725500335,3.0,1,1,Titan,165.70953983791364,62.447656173685864,0.0,52.254400000000004,107.51116075485716,13.561090181818017,6.678841882522337,0.11024334396657941,3.1624022391083915,0.2794783233180776,16.562782574664624,4.694082471332943,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
7,16.0,3.875216178841383,5.5179821601259285,0.0,7.857142857142857,1.7796485867074106,0.35,0.0,157.3971028806819,231.34574907662213,LowAcc,10532398.674241569,11.125052469390965,0.00954769376740942,0.16617362505098243,17.404582624780854,-0.8508082029901828,2.312304511875987,0.6936913535627961,0.15297693897461997,0.9309776197718446,0.1472741485841564,0.17131588382644716,1.7217380372415176,2.0,0.0,4.0,0.23852663308287056,3.0,1,1,Titan,157.3971028806819,55.1877231707106,0.0,52.254400000000004,99.67876340503715,13.099133007189755,5.978935540483106,0.10448205469774388,4.545429499976032,0.2513096503065164,15.732236355277557,4.764930561955517,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
8,17.0,3.982861072698087,5.661497031056853,0.0,8.047619047619047,1.802420168067227,0.35,0.0,168.5845513978745,266.9857047332958,LowAcc,10788208.929029554,11.395257063305992,0.009350106619077436,0.16505922185120833,17.65319141007769,-0.8971067273654059,2.3829362041284585,0.7148808612385376,0.11677372258378821,0.6380665763511939,0.1492874563681495,0.14064293427016597,1.7771913358811737,2.0,0.0,4.0,0.2574495838222036,3.0,1,1,Titan,168.5845513978745,63.06109284703248,0.0,52.254400000000004,110.29441461734532,15.669699484188785,6.494515031493692,0.11670772097423544,3.115312954361031,0.28181790845996657,16.850087398091464,4.690597708303346,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
9,21.0,4.413440648124908,6.235407803149411,0.0,8.80952380952381,1.8935064935064936,0.35,0.0,156.7650265994852,214.11857920884333,LowAcc,9539527.904102853,10.07631326431969,0.009415208713206764,0.1771470801275613,18.814992372827184,-0.7488434008811906,2.298874907361515,0.6896624722084544,0.16241154890474652,1.1628068168803687,0.11610143162563454,0.18019481909168306,1.7111943868488364,2.0,0.0,4.0,0.2347561883351476,3.0,1,1,Titan,156.7650265994852,53.6907147092499,0.0,52.254400000000004,99.1011381978922,13.164091225852996,5.74455281227731,0.10800735017058335,5.6773184402827725,0.245381837658435,15.669098111607447,4.78739014635243,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
