Year(U),PowerFrac(U),Year(P),PowerFrac(P)
0,1.2077922,0,1
0.110415868,1.532354164,1.42755027,0.990455328
0.333689506,2.00908085,2.108174745,0.984744171
0.545832199,2.705100212,2.788799221,0.984744171
0.674001743,2.951421642,3.469423697,0.984744171
0.772707024,3.262716747,4.150048172,0.973321859
1.101417709,3.945383808,4.830672648,0.966182913
1.325456599,4.348900798,5.511297123,0.953332812
1.588253271,4.751965655,6.191921599,0.950477234
1.92383895,5.378408113,6.872546074,0.950477234
2.15354971,5.676744641,7.55317055,0.950477234
2.505205689,6.123832994,8.233795025,0.943338288
2.703721162,6.374290995,8.914419501,0.933343765
2.95895534,6.611185,9.595043976,0.933343765
3.185830165,6.816548662,10.27566845,0.933343765
3.380294301,7.008382323,10.95629293,0.929060397
3.597040786,7.238460335,11.6369174,0.917638085
3.979892053,7.44691754,12.31754188,0.913354718
4.206766878,7.649663589,12.99816635,0.901932405
4.603797822,7.875611211,13.67879083,0.899076827
5.057547473,8.075590919,14.35941531,0.899076827
5.556672088,8.264755124,15.04003978,0.899076827
6.135202892,8.424477129,15.72066426,0.89479346
6.872546074,8.614849006,16.40128873,0.884798936
7.55317055,8.714794242,17.08191321,0.880515569
8.233795025,8.78047254,17.76253768,0.867665467
8.914419501,8.816167266,18.44316216,0.864809889
9.595043976,8.831872946,19.12378663,0.864809889
10.27566845,8.831872946,19.6909737,0.864809889
10.95629293,8.816167266,20.48503559,0.856243154
11.6369174,8.791894852,21.16566006,0.84767642
12.31754188,8.761911281,21.84628454,0.84767642
12.99816635,8.723360976,22.52690901,0.84767642
13.67879083,8.681955093,23.20753349,0.846248631
14.35941531,8.633410264,23.88815796,0.834826318
15.04003978,8.586293225,24.56878244,0.830542951
15.72066426,8.537748396,25.24940691,0.820548427
16.40128873,8.483492411,25.93003139,0.813409482
17.08191321,8.433519793,26.61065587,0.813409482
17.76253768,8.37640823,27.29128034,0.813409482
18.44316216,8.323580034,27.97190482,0.813409482
19.12378663,8.269324049,28.65252929,0.809126115
19.80441111,8.213640275,29.33315377,0.799131591
20.48503559,8.157956501,30.01377824,0.793420435
21.16566006,8.105128305,30.69440272,0.780570333
21.84628454,8.05087232,31.37502719,0.779142544
22.52690901,7.998044125,32.05565167,0.779142544
23.20753349,7.946643718,32.73627614,0.779142544
23.88815796,7.889532155,33.41690062,0.776286966
24.56878244,7.836703959,34.0975251,0.769148021
25.24940691,7.782447974,34.77814957,0.762009075
25.93003139,7.729619778,35.45877405,0.762009075
26.61065587,7.673936004,36.13939852,0.762009075
